"e0.kV","Si.cps.per.nA"
0.05,-106.37028
0.15,-83.79834
0.25,-60.04814
0.35,-35.12286
0.45,-9.02566
0.55,18.2403
0.65,46.67183
0.75,76.26578
0.85,107.01897
0.95,138.92824
1.05,171.99041
1.15,206.20233
1.25,241.56082
1.35,278.06271
1.45,315.70484
1.55,354.48403
1.65,394.39712
1.75,435.44094
1.85,477.61232
1.95,520.90809
2.05,565.32509
2.15,610.86014
2.25,657.51008
2.35,705.27174
2.45,754.14195
2.55,804.11755
2.65,855.19535
2.75,907.37221
2.85,960.64494
2.95,1015.01037
3.05,1070.46535
3.15,1127.0067
3.25,1184.63126
3.35,1243.33585
3.45,1303.11731
3.55,1363.97246
3.65,1425.89815
3.75,1488.89119
3.85,1552.94843
3.95,1618.0667
4.05,1684.24282
4.15,1751.47363
4.25,1819.75596
4.35,1889.08664
4.45,1959.4625
4.55,2030.88038
4.65,2103.33711
4.75,2176.82951
4.85,2251.35442
4.95,2326.90867
5.05,2403.52485
5.15,2481.40572
5.25,2560.56182
5.35,2640.96696
5.45,2722.59497
5.55,2805.41969
5.65,2889.41492
5.75,2974.55451
5.85,3060.81226
5.95,3148.162
6.05,3236.57756
6.15,3326.03277
6.25,3416.50144
6.35,3507.9574
6.45,3600.37447
6.55,3693.72648
6.65,3787.98726
6.75,3883.13062
6.85,3979.13039
6.95,4075.96039
7.05,4173.95622
7.15,4275.20598
7.25,4379.90138
7.35,4487.86609
7.45,4598.92377
7.55,4712.8981
7.65,4829.61275
7.75,4948.89138
7.85,5070.55768
7.95,5194.43531
8.05,5320.34795
8.15,5448.11926
8.25,5577.57292
8.35,5708.53259
8.45,5840.82196
8.55,5974.26469
8.65,6108.68445
8.75,6243.90491
8.85,6379.74975
8.95,6516.04263
9.05,6652.60724
9.15,6789.26723
9.25,6925.84628
9.35,7062.16807
9.45,7198.05626
9.55,7333.33453
9.65,7467.82654
9.75,7601.35597
9.85,7733.74648
9.95,7864.82176
10.05,7994.66862
10.15,8124.74919
10.25,8255.30254
10.35,8386.31119
10.45,8517.75767
10.55,8649.62451
10.65,8781.89424
10.75,8914.5494
10.85,9047.57252
10.95,9180.94611
11.05,9314.65272
11.15,9448.67488
11.25,9582.99511
11.35,9717.59594
11.45,9852.45991
11.55,9987.56954
11.65,10122.90737
11.75,10258.45592
11.85,10394.19773
11.95,10530.11532
12.05,10666.19123
12.15,10802.40798
12.25,10938.74812
12.35,11075.19415
12.45,11211.72863
12.55,11348.33407
12.65,11484.99301
12.75,11621.68797
12.85,11758.40149
12.95,11895.1161
13.05,12031.81433
13.15,12168.4787
13.25,12305.09176
13.35,12441.63602
13.45,12578.09402
13.55,12714.44828
13.65,12850.68135
13.75,12986.77575
13.85,13122.714
13.95,13258.47864
14.05,13394.05221
14.15,13529.41722
14.25,13664.55621
14.35,13799.45172
14.45,13934.08626
14.55,14068.44237
14.65,14202.50259
14.75,14336.24943
14.85,14469.66544
14.95,14602.73313
15.05,14735.49083
15.15,14868.26164
15.25,15001.09893
15.35,15134.00095
15.45,15266.96596
15.55,15399.99222
15.65,15533.07796
15.75,15666.22145
15.85,15799.42094
15.95,15932.67467
16.05,16065.98091
16.15,16199.3379
16.25,16332.74389
16.35,16466.19714
16.45,16599.69589
16.55,16733.23841
16.65,16866.82294
16.75,17000.44774
16.85,17134.11105
16.95,17267.81113
17.05,17401.54624
17.15,17535.31461
17.25,17669.11451
17.35,17802.94419
17.45,17936.8019
17.55,18070.68589
17.65,18204.59441
17.75,18338.52572
17.85,18472.47807
17.95,18606.4497
18.05,18740.43888
18.15,18874.44385
18.25,19008.46287
18.35,19142.49419
18.45,19276.53605
18.55,19410.58672
18.65,19544.64444
18.75,19678.70747
18.85,19812.77405
18.95,19946.84245
19.05,20080.91091
19.15,20214.97768
19.25,20349.04102
19.35,20483.09918
19.45,20617.15041
19.55,20751.19296
19.65,20885.22509
19.75,21019.24505
19.85,21153.25108
19.95,21287.24144
