 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,C3-jw-30min 1_c5.tif:0001-0038,2741,135.393,59,233,77.918,37.598,77.940,37.598,195.338,59.630,58.527,100.882,0.903,61.847,56,16,129.094,58.000,1.019,0.982,0.974
2,C3-jw-30min 1_c5.tif:0002-0067,2284,111.002,62,178,1323.153,68.048,1323.751,67.585,179.681,59.106,49.201,143.074,0.889,61.612,1299,51,144.246,50.535,1.201,0.832,0.973
3,C3-jw-30min 1_c5.tif:0003-0076,2666,122.730,61,214,442.471,77.471,442.577,77.477,198.652,71.117,47.730,13.280,0.849,71.847,406,86,8.807,49.235,1.490,0.671,0.971
4,C3-jw-30min 1_c5.tif:0004-0177,2970,111.075,61,240,78.368,177.631,78.359,176.933,207.137,69.564,54.360,62.156,0.870,70.725,58,207,56.535,55.672,1.280,0.781,0.966
5,C3-jw-30min 1_c5.tif:0005-0176,2667,144.883,59,255,618.367,177.484,618.128,176.803,192.995,64.500,52.647,69.083,0.900,65.000,599,204,59.490,53.132,1.225,0.816,0.976
6,C3-jw-30min 1_c5.tif:0006-0232,2856,132.309,60,255,784.056,231.120,783.760,231.537,198.652,62.797,57.907,44.921,0.909,64.637,758,249,34.919,58.521,1.084,0.922,0.974
7,C3-jw-30min 1_c5.tif:0007-0253,2034,132.333,60,255,110.640,253.112,110.029,253.656,167.581,55.143,46.964,33.776,0.910,55.946,86,267,24.274,46.669,1.174,0.852,0.971
8,C3-jw-30min 1_c5.tif:0008-0262,3127,120.679,62,197,1221.018,262.253,1220.792,261.881,210.894,69.859,56.992,169.949,0.884,70.576,1186,256,172.674,57.481,1.226,0.816,0.975
9,C3-jw-30min 1_c5.tif:0009-0299,2192,102.860,62,159,591.697,299.103,591.222,298.790,177.924,60.973,45.773,17.816,0.870,62.650,565,316,24.520,46.550,1.332,0.751,0.969
10,C3-jw-30min 1_c5.tif:0010-0326,3469,160.363,61,255,73.782,325.741,74.497,326.097,221.380,72.830,60.646,19.044,0.889,73.926,38,337,23.097,60.821,1.201,0.833,0.977
11,C3-jw-30min 1_c5.tif:0011-0398,2603,114.609,63,197,940.621,398.017,940.903,398.320,191.823,64.568,51.330,76.818,0.889,65.490,940,431,82.983,52.000,1.258,0.795,0.970
12,C3-jw-30min 1_c5.tif:0012-0400,2439,104.168,63,157,1274.258,401.258,1273.817,401.199,185.095,59.195,52.461,138.189,0.895,62.266,1248,387,150.141,54.113,1.128,0.886,0.971
13,C3-jw-30min 1_c5.tif:0013-0447,1916,96.414,62,139,797.780,447.663,797.843,447.541,166.610,56.895,42.878,71.324,0.867,59.615,783,475,67.306,44.384,1.327,0.754,0.968
14,C3-jw-30min 1_c5.tif:0014-0483,2371,107.361,64,172,1148.410,483.124,1148.074,483.125,181.338,58.406,51.687,176.351,0.906,60.166,1120,475,164.578,52.000,1.130,0.885,0.974
15,C3-jw-30min 1_c5.tif:0015-0499,2560,122.374,59,226,979.637,500.427,979.918,499.826,190.409,65.130,50.046,169.402,0.887,65.765,947,496,171.254,50.688,1.301,0.768,0.973
16,C3-jw-30min 1_c5.tif:0016-0564,4410,150.944,60,255,207.920,564.706,206.668,563.362,251.037,86.099,65.215,105.312,0.879,85.440,195,524,106.314,64.827,1.320,0.757,0.980
17,C3-jw-30min 1_c5.tif:0017-0601,2601,111.431,61,216,723.027,599.736,721.955,600.176,196.894,69.551,47.616,109.974,0.843,73.682,708,566,108.189,49.366,1.461,0.685,0.966
