Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,1,127.584,16.187,276,281,56.352,57.349,18.868,17.000,0,18.746,18.000,17.000,1.059,4.898,11.506,0.253,1,0.982,0,1.000,0.147,83.000,1.331,0.952
1,2,131.281,44.555,280,288,57.464,58.260,19.416,17.000,0,18.881,18.000,17.000,1.059,4.873,11.793,0.152,1,0.972,0,1.000,0.139,68.914,1.333,0.948
1,3,106.751,51.100,412,419,68.740,70.420,23.409,21.000,0,22.904,22.000,21.000,1.048,5.994,11.469,0.246,1,0.983,0,1.000,0.157,106.495,1.464,0.949
1,4,147.575,61.424,363,376,66.288,66.699,22.204,19.888,0,21.499,21.840,19.647,1.112,5.476,12.105,0.327,1,0.965,0,1.000,0.120,88.630,1.429,0.952
1,5,185.383,61.796,434,438,70.964,73.371,25.632,19.000,0,23.507,24.000,19.000,1.263,6.116,11.603,0.458,1,0.991,0,1.000,0.170,79.437,1.468,0.961
1,6,194.244,86.540,346,354,63.380,64.511,21.401,19.000,0,20.989,20.000,19.000,1.053,5.459,11.610,0.190,1,0.977,0,1.000,0.147,155.499,1.400,0.954
1,7,113.120,91.021,404,417,69.624,70.922,24.187,20.000,0,22.680,22.000,20.000,1.100,5.803,11.999,0.288,1,0.969,0,1.000,0.148,5.035,1.456,0.950
1,8,137.049,103.518,312,318,59.588,61.184,20.591,18.000,0,19.931,19.000,18.000,1.056,5.236,11.381,0.264,1,0.981,0,1.000,0.161,90.435,1.367,0.955
1,9,177.050,109.835,635,650,87.044,88.088,28.862,27.000,0,28.434,28.000,27.000,1.037,7.295,11.932,0.225,1,0.977,0,1.000,0.135,152.262,1.609,0.965
1,10,108.191,110.043,312,322,62.040,62.807,21.633,18.433,0,19.931,19.000,19.000,1.000,5.029,12.336,0.294,1,0.969,0,1.000,0.136,139.241,1.369,0.951
1,11,90.699,120.487,366,375,65.832,66.835,23.022,19.000,0,21.587,21.000,19.000,1.105,5.560,11.841,0.380,1,0.976,0,1.000,0.142,108.668,1.424,0.953
1,12,126.476,128.870,388,397,67.628,68.767,22.804,20.200,0,22.226,21.633,20.248,1.068,5.737,11.787,0.294,1,0.977,0,1.000,0.145,114.731,1.450,0.951
1,13,70.647,130.256,410,422,69.752,70.781,24.187,20.506,0,22.848,23.345,21.213,1.101,5.878,11.867,0.350,1,0.972,0,1.000,0.141,143.850,1.466,0.949
1,14,166.862,136.366,323,332,62.368,64.531,22.847,16.000,0,20.279,21.000,16.000,1.312,5.179,12.043,0.526,1,0.973,0,1.000,0.171,87.511,1.381,0.944
1,15,182.904,142.516,321,336,64.492,64.965,22.361,16.749,0,20.217,22.091,16.125,1.370,4.977,12.957,0.467,1,0.955,0,0.970,0.124,82.955,1.391,0.947
1,16,110.543,142.281,330,339,61.712,62.970,20.881,19.000,0,20.498,20.000,19.000,1.053,5.347,11.541,0.253,1,0.973,0,1.000,0.151,101.103,1.386,0.954
1,17,144.469,149.717,501,515,77.892,79.041,28.231,22.000,0,25.257,27.000,22.000,1.227,6.432,12.110,0.466,1,0.973,0,1.000,0.141,71.464,1.529,0.964
1,18,176.157,169.913,421,429,69.852,71.544,23.854,21.000,0,23.152,22.000,21.000,1.048,6.027,11.590,0.260,1,0.981,0,1.000,0.157,96.329,1.472,0.948
1,19,123.734,169.955,340,348,62.824,64.043,21.260,19.000,0,20.806,20.000,19.000,1.053,5.412,11.608,0.247,1,0.977,0,1.000,0.150,109.169,1.393,0.954
1,20,122.789,194.155,336,345,62.824,63.738,21.190,19.000,0,20.684,20.000,19.000,1.053,5.348,11.747,0.246,1,0.974,0,1.000,0.141,179.589,1.388,0.954
1,21,190.770,198.330,497,511,76.780,77.812,25.807,23.255,0,25.156,25.942,22.825,1.137,6.473,11.862,0.313,1,0.973,0,1.000,0.139,120.773,1.524,0.966
1,22,215.060,216.350,504,514,77.336,78.334,26.627,23.335,0,25.332,24.352,24.352,1.000,6.517,11.867,0.318,1,0.981,0,1.000,0.137,54.295,1.521,0.965
1,23,156.096,215.198,436,447,72.304,73.360,25.000,21.000,0,23.561,23.000,21.000,1.095,6.030,11.991,0.264,1,0.975,0,1.000,0.141,15.112,1.477,0.948
1,24,250.023,214.362,332,338,61.712,63.882,21.541,18.981,0,20.560,20.000,19.000,1.053,5.380,11.471,0.327,1,0.982,0,1.000,0.172,123.394,1.382,0.954
1,25,272.982,217.217,408,412,68.740,70.702,24.698,20.000,0,22.792,23.000,20.000,1.150,5.935,11.581,0.354,1,0.990,0,1.000,0.163,103.447,1.451,0.950
1,26,179.171,222.036,382,390,66.616,67.925,22.804,20.000,0,22.054,21.000,20.000,1.050,5.734,11.617,0.287,1,0.979,0,1.000,0.150,155.701,1.438,0.951
1,27,120.817,227.273,376,386,66.516,68.181,23.537,19.606,0,21.880,21.213,19.799,1.071,5.653,11.767,0.401,1,0.974,0,1.000,0.158,78.464,1.424,0.952
1,28,238.789,231.229,333,344,62.496,63.487,20.881,19.677,0,20.591,19.799,19.799,1.000,5.328,11.729,0.170,1,0.968,0,1.000,0.143,64.430,1.400,0.954
1,29,137.641,236.992,315,326,61.484,62.953,21.633,18.000,0,20.027,20.000,18.000,1.111,5.123,12.001,0.411,1,0.966,0,1.000,0.157,65.488,1.382,0.954
1,30,193.419,242.562,372,381,66.388,68.422,24.207,18.607,0,21.763,21.000,19.000,1.105,5.603,11.848,0.418,1,0.976,0,1.000,0.166,157.740,1.427,0.952
1,31,168.165,244.007,201,205,47.756,49.525,17.000,13.000,0,15.998,16.000,13.000,1.231,4.209,11.346,0.428,1,0.980,0,1.000,0.174,6.787,1.240,0.938
1,32,219.663,249.359,367,376,65.176,66.530,21.954,19.799,0,21.617,21.213,19.799,1.071,5.631,11.575,0.288,1,0.976,0,1.000,0.152,135.543,1.441,0.952
1,33,250.658,257.555,366,374,65.732,66.477,21.587,20.125,0,21.587,21.471,20.125,1.067,5.568,11.805,0.213,1,0.979,0,1.000,0.134,65.426,1.432,0.952
1,34,299.596,261.155,320,331,61.712,62.132,20.809,18.918,0,20.185,19.698,18.788,1.048,5.185,11.901,0.269,1,0.967,0,1.000,0.122,117.731,1.389,0.955
1,35,165.997,262.327,422,431,70.408,71.804,23.854,21.000,0,23.180,22.000,21.000,1.048,5.994,11.747,0.146,1,0.979,0,1.000,0.150,23.517,1.473,0.948
