 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,for_ws:0002-0082,9778,255,255,255,178.110,81.754,178.110,81.754,374.919,113.170,110.010,103.869,0.874,118.106,157,27,111.351,110.000,1.029,0.972,0.973
2,for_ws:0003-0087,9539,255,255,255,465.916,86.963,465.916,86.963,363.848,112.244,108.205,87.727,0.905,116.090,448,32,107.030,108.000,1.037,0.964,0.979
3,for_ws:0004-0091,9056,255,255,255,753.161,91.005,753.161,91.005,358.919,109.387,105.410,76.722,0.883,113.217,736,37,109.075,106.000,1.038,0.964,0.978
4,for_ws:0005-0122,9571,255,255,255,280.871,121.768,280.871,121.768,366.676,112.494,108.327,93.670,0.895,115.802,267,66,106.557,108.892,1.038,0.963,0.975
5,for_ws:0006-0125,9432,255,255,255,567.382,125.571,567.382,125.571,363.848,111.483,107.722,77.198,0.895,115.767,548,71,109.687,107.000,1.035,0.966,0.977
6,for_ws:0007-0129,9436,255,255,255,859.351,128.994,859.351,128.994,367.747,111.082,108.157,70.887,0.877,114.490,841,75,109.385,109.000,1.027,0.974,0.976
7,for_ws:0008-0154,9730,255,255,255,93.112,153.634,93.112,153.634,368.090,112.579,110.044,105.095,0.902,117.004,72,98,108.435,110.000,1.023,0.977,0.980
8,for_ws:0009-0161,9535,255,255,255,383.089,160.730,383.089,160.730,365.262,111.530,108.853,93.320,0.898,115.603,333,131,149.886,108.958,1.025,0.976,0.976
9,for_ws:0010-0164,9413,255,255,255,670.940,164.158,670.940,164.158,362.676,111.140,107.837,79.547,0.899,114.791,652,110,108.277,108.000,1.031,0.970,0.979
10,for_ws:0012-0194,9691,255,255,255,196.422,193.612,196.422,193.612,370.333,112.758,109.429,94.648,0.888,117.987,176,138,109.817,110.000,1.030,0.970,0.975
11,for_ws:0013-0199,9223,255,255,255,484.840,198.808,484.840,198.808,358.919,110.160,106.600,90.591,0.900,114.481,469,144,107.802,107.000,1.033,0.968,0.978
12,for_ws:0014-0199,9394,255,255,255,773.319,199.437,773.319,199.437,362.434,111.166,107.594,75.627,0.899,114.481,754,145,107.802,107.000,1.033,0.968,0.979
13,for_ws:0015-0233,9534,255,255,255,299.184,233.048,299.184,233.048,366.333,111.858,108.522,93.381,0.893,116.709,280,178,109.522,108.988,1.031,0.970,0.975
14,for_ws:0016-0236,9420,255,255,255,586.204,235.555,586.204,235.555,365.747,111.526,107.544,80.570,0.885,115.135,566,181,107.176,108.000,1.037,0.964,0.976
15,for_ws:0017-0239,9433,255,255,255,877.112,238.907,877.112,238.907,363.505,111.112,108.093,74.173,0.897,115.767,859,184,109.687,108.832,1.028,0.973,0.977
16,for_ws:0018-0265,9576,255,255,255,111.161,265.397,111.161,265.397,367.505,111.464,109.385,85.871,0.891,115.741,95,210,108.122,109.000,1.019,0.981,0.978
17,for_ws:0019-0271,9391,255,255,255,401.709,270.621,401.709,270.621,363.262,111.022,107.699,87.520,0.894,115.434,381,216,109.220,108.000,1.031,0.970,0.978
18,for_ws:0020-0274,9366,255,255,255,687.364,274.426,687.364,274.426,363.505,110.615,107.807,84.566,0.891,114.826,669,220,109.855,108.000,1.026,0.975,0.976
19,for_ws:0021-0304,9599,255,255,255,214.030,304.676,214.030,304.676,367.990,111.632,109.483,73.744,0.891,115.434,195,250,109.220,110.000,1.020,0.981,0.978
20,for_ws:0022-0309,9496,255,255,255,503.294,308.908,503.294,308.908,363.848,111.708,108.234,86.080,0.901,116.709,483,254,109.522,108.000,1.032,0.969,0.977
21,for_ws:0023-0311,9865,255,255,255,791.174,310.677,791.174,310.677,375.404,113.130,111.028,75.988,0.880,117.004,774,255,108.435,111.715,1.019,0.981,0.973
22,for_ws:0024-0343,9338,255,255,255,318.622,342.909,318.622,342.909,359.019,110.231,107.860,89.933,0.910,115.169,299,289,110.323,107.000,1.022,0.978,0.980
23,for_ws:0025-0347,9184,255,255,255,604.912,347.116,604.912,347.116,358.919,109.582,106.709,80.787,0.896,112.294,595,292,103.912,107.000,1.027,0.974,0.978
24,for_ws:0026-0349,9498,255,255,255,894.698,348.656,894.698,348.656,363.505,111.147,108.804,75.685,0.903,115.767,875,294,109.687,109.000,1.022,0.979,0.978
25,for_ws:0027-0376,9445,255,255,255,128.218,375.614,128.218,375.614,366.434,110.607,108.725,90.696,0.884,115.169,110,321,110.323,109.000,1.017,0.983,0.977
26,for_ws:0028-0380,9241,255,255,255,419.828,380.693,419.828,380.693,361.161,110.014,106.950,88.059,0.890,114.180,402,326,107.324,107.000,1.029,0.972,0.976
27,for_ws:0029-0383,9466,255,255,255,706.315,383.807,706.315,383.807,365.505,111.290,108.298,81.162,0.890,116.812,685,329,111.073,109.000,1.028,0.973,0.976
28,for_ws:0030-0415,9518,255,255,255,234.696,414.639,234.696,414.639,366.576,110.944,109.233,85.171,0.890,115.109,216,360,108.750,109.000,1.016,0.985,0.977
29,for_ws:0031-0418,9365,255,255,255,521.258,418.759,521.258,418.759,362.333,110.759,107.656,77.578,0.896,114.490,502,365,109.385,107.964,1.029,0.972,0.977
30,for_ws:0032-0421,9523,255,255,255,810.071,421.346,810.071,421.346,364.090,111.246,108.993,81.087,0.903,115.434,791,367,109.220,109.000,1.021,0.980,0.979
31,for_ws:0033-0453,9377,255,255,255,336.624,452.732,336.624,452.732,362.090,111.059,107.503,82.555,0.899,115.434,317,398,107.650,108.000,1.033,0.968,0.979
32,for_ws:0034-0456,9380,255,255,255,623.027,456.621,623.027,456.621,364.576,110.756,107.831,88.663,0.887,115.767,604,402,109.687,108.000,1.027,0.974,0.976
33,for_ws:0035-0458,9514,255,255,255,913.043,458.618,913.043,458.618,365.990,111.057,109.076,86.298,0.893,115.434,894,404,109.220,109.825,1.018,0.982,0.977
34,for_ws:0036-0487,10146,255,255,255,147.843,486.804,147.843,486.804,382.132,114.560,112.764,69.436,0.873,118.680,127,431,110.726,113.000,1.016,0.984,0.975
35,for_ws:0037-0491,9361,255,255,255,437.801,491.015,437.801,491.015,362.919,111.034,107.344,81.655,0.893,115.109,420,436,108.750,108.000,1.034,0.967,0.977
36,for_ws:0038-0493,9461,255,255,255,725.529,493.433,725.529,493.433,363.848,111.009,108.515,83.112,0.898,115.109,706,439,108.750,108.000,1.023,0.978,0.978
37,for_ws:0039-0525,9395,255,255,255,252.806,524.980,252.806,524.980,362.090,110.657,108.101,78.637,0.900,115.109,235,470,108.750,108.000,1.024,0.977,0.980
