 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,C3-jw-30min 5_c5.tif:0001-0048,77547336.067,135.095,65,254,210121.049,8120.187,210075.405,8047.073,33401.793,11716.775,8426.921,164.553,0.873,11870.075,1207,41,165.964,8514.854,1.390,0.719,0.975
2,C3-jw-30min 5_c5.tif:0002-0123,80673319.658,159.918,64,255,187028.502,21026.395,186982.883,20916.377,34021.074,11606.838,8849.651,16.956,0.876,11841.047,1072,139,16.621,8970.394,1.312,0.762,0.975
3,C3-jw-30min 5_c5.tif:0003-0143,76170756.137,137.727,66,255,211866.985,24137.447,211764.738,24009.951,32303.524,10539.698,9201.746,174.461,0.917,10608.271,1221,134,163.301,9144.793,1.145,0.873,0.976
4,C3-jw-30min 5_c5.tif:0004-0260,118242480.253,183.021,62,255,115056.693,44053.217,115119.924,44160.130,42173.849,15363.259,9799.419,18.758,0.835,15503.438,636,275,21.801,9872.341,1.568,0.638,0.976
5,C3-jw-30min 5_c5.tif:0005-0340,129943409.659,127.866,66,236,184112.626,57707.960,184261.890,57553.303,43196.987,14910.373,11096.240,28.218,0.875,15064.360,1045,358,21.084,11178.548,1.344,0.744,0.977
6,C3-jw-30min 5_c5.tif:0006-0372,101551448.599,121.825,66,212,136234.257,63108.055,136211.577,63021.064,38414.152,13425.066,9631.187,36.871,0.865,13360.259,770,393,30.466,9540.428,1.394,0.717,0.972
7,C3-jw-30min 5_c5.tif:0007-0390,86179639.379,141.336,63,255,69538.379,66040.342,69412.378,66007.107,35078.253,12278.432,8936.591,171.760,0.880,12456.004,374,386,172.972,9130.845,1.374,0.728,0.974
8,C3-jw-30min 5_c5.tif:0008-0435,124207659.950,138.549,66,237,227053.980,73758.605,227107.682,73645.800,42273.051,14814.988,10674.738,179.670,0.873,14850.575,1297,440,7.206,10668.925,1.388,0.721,0.978
9,C3-jw-30min 5_c5.tif:0009-0503,70004825.199,118.163,68,241,24682.663,85134.422,24734.138,85151.379,31427.728,10270.430,8678.596,22.694,0.891,10352.414,118,516,15.173,8729.064,1.183,0.845,0.971
10,C3-jw-30min 5_c5.tif:0010-0555,134245221.941,149.104,66,255,129333.130,94064.788,129192.144,94228.820,43296.189,14255.392,11990.293,144.245,0.900,14378.633,730,530,147.995,11854.966,1.189,0.841,0.978
11,C3-jw-30min 5_c5.tif:0011-0553,100232226.166,121.229,66,181,171014.865,93591.765,170987.937,93561.949,38249.790,13525.863,9435.231,141.037,0.861,13557.363,979,528,138.545,9381.880,1.434,0.698,0.974
12,C3-jw-30min 5_c5.tif:0012-0604,76744331.108,138.759,66,254,220862.776,102214.118,220843.938,102410.520,32426.796,10178.057,9600.449,139.121,0.917,10380.080,1278,587,146.310,9579.770,1.060,0.943,0.976
13,C3-jw-30min 5_c5.tif:0013-0674,98769609.991,155.652,64,255,62099.778,114050.623,62097.878,114046.878,37811.892,13246.182,9493.858,52.124,0.868,13335.551,342,705,49.635,9521.178,1.395,0.717,0.974
14,C3-jw-30min 5_c5.tif:0014-0700,68886354.006,127.463,63,218,30123.288,118777.818,30058.394,118731.750,31783.445,11302.083,7760.413,83.837,0.857,11331.141,172,733,80.538,7785.050,1.456,0.687,0.971
15,C3-jw-30min 5_c5.tif:0015-0704,81017464.641,142.699,65,238,101547.331,119310.888,101468.321,119289.971,34178.387,11845.316,8708.475,166.862,0.872,11957.936,565,698,167.735,8921.329,1.360,0.735,0.973
16,C3-jw-30min 5_c5.tif:0016-0779,84258163.227,132.806,65,198,136068.475,132089.892,136069.061,132163.886,35516.151,13043.470,8224.868,15.953,0.839,13236.256,767,794,16.348,8394.345,1.586,0.631,0.973
17,C3-jw-30min 5_c5.tif:0017-0826,83627230.759,126.346,67,233,196950.516,139907.474,196921.132,139838.634,35591.282,12315.020,8646.149,169.765,0.830,12235.320,1127,825,175.236,8675.512,1.424,0.702,0.962
18,C3-jw-30min 5_c5.tif:0018-0857,85061168.186,121.692,67,211,186091.995,144933.691,185933.218,144998.849,35673.464,11923.248,9083.367,57.417,0.840,12566.033,1081,885,52.667,9371.695,1.313,0.762,0.964
19,C3-jw-30min 5_c5.tif:0019-0900,80988785.892,136.398,66,237,142831.434,152498.903,142796.535,152452.943,34236.498,11160.319,9239.711,10.088,0.868,11300.729,813,915,19.250,9158.427,1.208,0.828,0.967
20,C3-jw-30min 5_c5.tif:0020-0910,60913661.911,122.694,66,200,14967.286,154013.564,15007.135,154009.756,29535.845,9936.501,7805.331,146.456,0.877,10060.184,63,894,143.902,7838.544,1.273,0.786,0.968
21,C3-jw-30min 5_c5.tif:0021-0919,76801688.605,130.268,66,223,112166.750,155731.684,112151.068,155573.589,32666.290,10540.137,9277.579,151.555,0.904,10763.928,633,907,155.854,9345.283,1.136,0.880,0.972
22,C3-jw-30min 5_c5.tif:0022-0940,87498861.812,143.711,63,255,60410.754,159359.003,60407.276,159236.973,35615.353,12499.972,8912.581,166.179,0.867,12701.101,321,930,163.740,9072.078,1.403,0.713,0.975
23,C3-jw-30min 5_c5.tif:0023-0942,63552106.777,109.220,67,198,172221.118,159510.389,172297.407,159524.679,29593.956,9743.122,8305.044,101.001,0.912,10014.469,1006,914,108.741,8461.302,1.173,0.852,0.974
24,C3-jw-30min 5_c5.tif:0024-0951,76572258.616,114.875,66,210,208548.586,161076.660,208580.907,161024.727,32963.896,10984.943,8875.315,143.390,0.886,11167.984,1207,930,139.304,9012.433,1.238,0.808,0.972
