Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,1,78.446,17.545,1087.512,1117.850,114.898,116.236,40.447,31.493,0,37.211,41.133,31.493,1.306,9.465,12.139,0.464,1,0.973,0,1.000,0.135,8.240,1.503,0.965
1,2,993.916,22.137,942.821,956.824,104.662,106.874,35.631,32.081,0,34.647,32.081,32.081,1.000,9.008,11.619,0.197,1,0.985,0,1.000,0.152,63.375,1.457,0.950
1,3,1074.056,26.982,1360.556,1397.896,127.180,129.366,42.253,39.719,0,41.621,41.247,39.719,1.038,10.698,11.888,0.133,1,0.973,0,1.000,0.146,171.654,1.576,0.966
1,4,640.402,26.092,1068.842,1096.847,112.851,114.060,37.792,33.608,0,36.890,36.664,33.608,1.091,9.471,11.915,0.304,1,0.974,0,1.000,0.133,85.007,1.493,0.962
1,5,1161.868,26.133,1239.203,1267.208,121.039,122.917,40.677,37.807,0,39.722,38.191,38.191,1.000,10.238,11.822,0.221,1,0.978,0,1.000,0.143,55.396,1.549,0.966
1,6,1244.703,28.408,1316.216,1346.554,124.785,126.903,42.446,38.191,0,40.937,39.719,38.191,1.040,10.548,11.830,0.208,1,0.977,0,1.000,0.145,66.706,1.569,0.966
1,7,464.152,29.950,1505.247,1528.584,132.973,135.294,44.091,41.247,0,43.778,42.774,41.247,1.037,11.320,11.747,0.200,1,0.985,0,1.000,0.146,14.875,1.609,0.965
1,8,383.869,29.504,1283.544,1309.215,123.587,125.279,41.725,38.191,0,40.426,38.191,38.191,1.000,10.386,11.900,0.167,1,0.980,0,1.000,0.139,11.081,1.554,0.966
1,9,1331.481,29.744,1344.220,1360.556,124.436,128.113,41.948,38.191,0,41.370,38.191,38.191,1.000,10.802,11.519,0.112,1,0.988,0,1.000,0.164,135.072,1.571,0.966
1,10,559.332,33.687,1320.883,1365.224,130.076,130.389,45.855,36.892,0,41.010,43.127,37.730,1.143,10.155,12.810,0.405,1,0.968,0,0.981,0.103,48.891,1.570,0.966
1,11,726.066,32.830,1360.556,1400.230,127.681,129.105,42.253,39.719,0,41.621,39.719,39.719,1.000,10.656,11.982,0.090,1,0.972,0,1.000,0.134,81.135,1.582,0.966
