 ,Label,Area,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,work,994.099,995.243,23.036,116.378,36.400,34.773,119.664,0.922,39.423,642,5,125.538,35.135,1.047,0.955,0.950
2,work,1299.796,1075.150,28.359,135.451,41.401,39.974,5.171,0.890,43.983,690,16,159.677,39.718,1.036,0.966,0.937
3,work,1325.466,1246.058,29.772,137.611,41.706,40.465,62.722,0.880,44.537,809,32,67.834,40.824,1.031,0.970,0.939
4,work,1509.817,465.301,31.240,143.198,44.675,43.030,22.147,0.925,47.158,291,27,24.905,44.039,1.038,0.963,0.953
5,work,1059.439,641.512,27.184,118.909,37.416,36.052,87.424,0.942,39.629,413,7,117.553,36.662,1.038,0.964,0.953
6,work,1206.454,1163.136,27.401,128.970,41.070,37.403,36.866,0.911,42.800,750,26,34.824,38.190,1.098,0.911,0.954
7,work,1365.136,1420.389,36.695,148.413,49.114,35.390,96.884,0.779,54.525,926,6,101.310,38.190,1.388,0.721,0.913
8,work,1271.794,384.968,30.789,132.396,41.641,38.887,44.288,0.912,44.615,240,29,38.047,39.718,1.071,0.934,0.949
9,work,1276.461,560.695,34.248,143.198,44.048,36.897,39.910,0.782,48.548,363,36,65.854,38.940,1.194,0.838,0.906
10,work,1313.798,1332.623,31.226,137.765,41.500,40.308,10.345,0.870,45.573,859,13,140.440,39.718,1.030,0.971,0.941
11,work,1302.130,727.042,34.303,132.920,40.955,40.482,78.094,0.926,44.063,467,34,56.310,39.718,1.012,0.988,0.959
12,work,1404.807,816.018,34.427,138.877,44.359,40.322,9.801,0.915,45.573,520,27,13.570,41.245,1.100,0.909,0.949
13,work,1271.794,902.934,33.250,133.291,40.973,39.521,24.385,0.900,43.261,583,10,137.862,39.718,1.037,0.965,0.945
14,work,1150.448,206.978,33.922,123.754,39.047,37.514,100.325,0.944,40.676,127,12,124.287,36.662,1.041,0.961,0.961
15,work,1052.438,291.763,33.023,119.804,37.115,36.105,84.171,0.921,39.835,186,34,57.529,36.662,1.028,0.973,0.945
16,work,1211.121,119.893,37.606,129.711,41.592,37.076,39.083,0.905,43.476,65,28,18.435,38.886,1.122,0.891,0.940
17,work,1159.782,39.141,39.289,131.501,41.636,35.467,21.620,0.843,43.744,11,29,12.095,36.891,1.174,0.852,0.925
18,work,483.048,1533.229,36.415,86.351,26.380,23.315,28.730,0.814,28.984,995,29,18.435,24.082,1.131,0.884,0.888
19,work,420.042,1504.976,38.148,75.549,25.894,20.654,132.131,0.925,28.168,978,19,130.601,22.684,1.254,0.798,0.947
20,work,1201.787,1202.503,49.342,129.341,40.092,38.167,83.752,0.903,42.362,782,20,115.641,38.190,1.050,0.952,0.948
21,work,786.412,1469.256,41.551,134.710,37.928,26.400,6.964,0.545,42.251,955,40,49.399,30.789,1.437,0.696,0.786
22,work,1089.775,1383.060,52.084,131.872,39.415,35.204,154.970,0.787,42.554,899,20,111.038,37.246,1.120,0.893,0.891
23,work,1577.491,512.499,54.467,144.092,45.775,43.878,146.674,0.955,47.454,328,22,123.179,44.287,1.043,0.959,0.966
24,work,1166.783,1034.739,51.330,128.075,39.351,37.753,138.343,0.894,42.362,665,27,154.359,38.190,1.042,0.959,0.943
25,work,1194.786,1120.099,50.793,128.446,39.835,38.189,174.874,0.910,42.362,721,39,25.641,38.190,1.043,0.959,0.939
26,work,1344.134,677.963,54.357,135.822,43.108,39.701,145.046,0.916,44.928,430,32,162.181,40.878,1.086,0.921,0.948
27,work,1719.838,950.623,56.402,155.789,49.266,44.448,149.870,0.890,51.351,607,29,157.249,46.448,1.108,0.902,0.940
28,work,1276.461,249.358,54.942,133.291,42.400,38.331,153.544,0.903,43.983,150,30,159.677,39.348,1.106,0.904,0.943
29,work,1194.786,599.563,55.229,129.341,40.803,37.283,5.680,0.897,42.609,379,40,14.534,36.662,1.094,0.914,0.947
30,work,1173.784,331.291,57.798,127.180,39.623,37.718,103.944,0.912,41.947,210,26,123.111,38.190,1.050,0.952,0.948
31,work,1253.125,424.919,59.097,132.242,40.643,39.257,97.803,0.900,44.537,273,53,67.834,39.956,1.035,0.966,0.931
32,work,1218.122,772.920,57.496,129.341,40.092,38.685,153.562,0.915,42.444,498,26,120.256,39.103,1.036,0.965,0.941
33,work,1260.126,162.359,59.647,131.501,40.454,39.660,155.569,0.916,42.800,99,27,124.824,39.718,1.020,0.980,0.946
34,work,1057.106,863.784,58.664,121.594,37.706,35.695,20.165,0.898,40.676,554,45,34.287,36.662,1.056,0.947,0.946
35,work,849.418,1299.082,57.327,107.583,33.371,32.408,60.625,0.922,35.531,840,32,154.537,32.080,1.030,0.971,0.943
36,work,1246.124,1493.356,71.852,144.092,49.134,32.292,83.940,0.754,53.662,975,63,85.101,34.828,1.522,0.657,0.896
37,work,1143.447,77.995,62.180,122.489,38.546,37.770,172.866,0.958,41.695,39,34,151.557,36.662,1.021,0.980,0.967
38,work,436.377,1542.865,55.749,81.659,27.814,19.976,20.383,0.822,29.661,1002,42,34.509,21.489,1.392,0.718,0.897
39,work,1250.792,1162.530,72.812,128.970,40.540,39.284,94.551,0.945,42.800,752,36,124.824,38.190,1.032,0.969,0.964
40,work,1353.468,1256.007,74.818,136.192,42.046,40.985,13.153,0.917,43.983,809,54,20.323,41.673,1.026,0.975,0.946
41,work,1334.800,556.469,79.692,140.142,43.350,39.205,111.854,0.854,46.736,361,36,101.310,40.990,1.106,0.904,0.929
