 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,1015.101,255,255,255,118.909,37.756,34.232,88.287,0.902,1.103,0.907,0.938
2,952.095,255,255,255,114.589,35.019,34.617,140.441,0.911,1.012,0.989,0.947
3,1241.457,255,255,255,133.661,40.515,39.014,27.068,0.873,1.038,0.963,0.930
4,1124.779,255,255,255,124.496,39.442,36.309,51.798,0.912,1.086,0.921,0.942
5,1227.456,255,255,255,130.235,40.281,38.799,26.082,0.909,1.038,0.963,0.948
6,1208.787,255,255,255,135.975,39.824,38.647,92.430,0.822,1.030,0.970,0.914
7,1201.787,255,255,255,130.977,40.316,37.954,27.345,0.880,1.062,0.941,0.931
8,1395.473,255,255,255,137.087,43.212,41.117,178.904,0.933,1.051,0.952,0.952
9,1236.790,255,255,255,142.827,43.895,35.875,40.666,0.762,1.224,0.817,0.898
10,1264.793,255,255,255,143.939,48.979,32.879,101.063,0.767,1.490,0.671,0.912
11,1208.787,255,255,255,134.556,40.042,38.436,110.657,0.839,1.042,0.960,0.938
12,1309.131,255,255,255,134.032,43.178,38.604,4.304,0.916,1.119,0.894,0.947
13,1057.106,255,255,255,119.434,37.466,35.924,108.903,0.931,1.043,0.959,0.952
14,1215.788,255,255,255,131.130,40.337,38.377,173.141,0.889,1.051,0.951,0.949
15,942.761,255,255,255,115.113,35.353,33.953,44.428,0.894,1.041,0.960,0.948
16,1136.447,255,255,255,154.153,41.133,35.178,140.250,0.601,1.169,0.855,0.821
17,1127.112,255,255,255,129.494,39.849,36.013,36.977,0.845,1.107,0.904,0.928
18,1080.441,255,255,255,123.230,39.576,34.760,35.678,0.894,1.139,0.878,0.940
19,424.709,255,255,255,81.135,24.448,22.118,24.972,0.811,1.105,0.905,0.897
20,448.045,255,255,255,78.975,25.190,22.647,124.333,0.903,1.112,0.899,0.921
21,1080.441,255,255,255,121.594,37.566,36.619,112.456,0.918,1.026,0.975,0.949
22,1024.436,255,255,255,129.711,37.396,34.880,154.989,0.765,1.072,0.933,0.867
23,1460.812,255,255,255,142.303,44.710,41.601,153.844,0.907,1.075,0.930,0.947
24,1099.110,255,255,255,124.496,38.718,36.144,171.927,0.891,1.071,0.934,0.937
25,1253.125,255,255,255,132.766,42.033,37.959,136.854,0.893,1.107,0.903,0.937
26,1087.442,255,255,255,124.125,38.367,36.088,146.508,0.887,1.063,0.941,0.934
27,1192.452,255,255,255,128.446,41.045,36.991,146.813,0.908,1.110,0.901,0.944
28,1605.494,255,255,255,149.679,48.079,42.517,153.648,0.901,1.131,0.884,0.948
29,1075.774,255,255,255,123.754,38.399,35.670,1.166,0.883,1.077,0.929,0.940
30,1124.779,255,255,255,124.125,38.200,37.490,170.865,0.917,1.019,0.981,0.943
31,1099.110,255,255,255,121.965,37.607,37.212,23.041,0.929,1.011,0.990,0.955
32,1180.785,255,255,255,130.606,39.829,37.747,85.276,0.870,1.055,0.948,0.929
33,1178.451,255,255,255,128.446,39.922,37.584,161.007,0.898,1.062,0.941,0.940
34,1008.101,255,255,255,118.909,37.528,34.203,8.522,0.896,1.097,0.911,0.942
35,770.077,255,255,255,101.102,32.426,30.237,171.310,0.947,1.072,0.932,0.947
36,1232.123,255,255,255,145.358,47.905,32.748,82.397,0.733,1.463,0.684,0.877
37,464.380,255,255,255,91.566,26.697,22.147,8.661,0.696,1.205,0.830,0.850
38,1026.769,255,255,255,119.434,36.747,35.576,21.785,0.905,1.033,0.968,0.944
39,1180.785,255,255,255,127.704,39.031,38.519,95.290,0.910,1.013,0.987,0.951
40,1253.125,255,255,255,131.501,41.262,38.668,5.442,0.911,1.067,0.937,0.948
41,1236.790,255,255,255,131.501,42.641,36.930,115.548,0.899,1.155,0.866,0.948
42,1066.440,255,255,255,121.070,38.129,35.612,32.132,0.914,1.071,0.934,0.941
43,1152.782,255,255,255,130.082,40.128,36.577,173.565,0.856,1.097,0.912,0.921
44,1225.122,255,255,255,130.977,40.735,38.293,142.849,0.897,1.064,0.940,0.938
45,1092.109,255,255,255,123.230,38.040,36.554,160.644,0.904,1.041,0.961,0.944
46,1234.457,255,255,255,132.396,41.074,38.266,142.973,0.885,1.073,0.932,0.934
47,1066.440,255,255,255,124.125,38.049,35.686,25.744,0.870,1.066,0.938,0.932
48,1024.436,255,255,255,120.546,37.052,35.204,146.604,0.886,1.053,0.950,0.934
49,1176.117,255,255,255,128.816,40.586,36.896,133.626,0.891,1.100,0.909,0.933
50,154.015,255,255,255,52.680,22.382,8.761,91.063,0.697,2.555,0.391,0.917
51,1127.112,255,255,255,125.915,40.458,35.471,133.745,0.893,1.141,0.877,0.949
52,1047.771,255,255,255,119.280,37.709,35.377,20.788,0.925,1.066,0.938,0.945
53,1267.126,255,255,255,133.661,41.574,38.807,115.428,0.891,1.071,0.933,0.936
54,875.087,255,255,255,137.982,40.462,27.537,5.687,0.578,1.469,0.681,0.829
55,301.030,255,255,255,64.376,21.805,17.578,114.878,0.913,1.240,0.806,0.970
56,693.069,255,255,255,105.794,36.071,24.464,114.443,0.778,1.474,0.678,0.874
57,1362.803,255,255,255,137.087,43.914,39.513,1.568,0.911,1.111,0.900,0.943
58,994.099,255,255,255,117.120,38.022,33.290,21.897,0.911,1.142,0.876,0.939
59,1339.467,255,255,255,141.932,43.587,39.127,93.070,0.836,1.114,0.898,0.935
60,1141.114,255,255,255,126.656,39.991,36.331,179.318,0.894,1.101,0.908,0.939
61,1085.108,255,255,255,124.125,37.310,37.030,80.194,0.885,1.008,0.992,0.946
62,956.762,255,255,255,120.699,36.246,33.609,133.390,0.825,1.078,0.927,0.906
63,1439.810,255,255,255,146.253,46.187,39.691,10.246,0.846,1.164,0.859,0.931
64,1017.435,255,255,255,121.070,36.551,35.442,6.517,0.872,1.031,0.970,0.931
65,1236.790,255,255,255,132.396,40.351,39.025,18.591,0.887,1.034,0.967,0.945
66,996.433,255,255,255,118.015,35.923,35.318,151.862,0.899,1.017,0.983,0.941
