X,Y
2.041,0.89743
4.083,0.71612
6.124,0.54460
8.165,0.38407
10.207,0.24631
12.248,0.12864
14.289,0.03176
16.331,-0.03800
18.372,-0.09743
20.413,-0.14270
22.454,-0.17015
24.496,-0.18473
26.537,-0.18713
28.578,-0.17730
30.620,-0.15766
32.661,-0.13063
34.702,-0.09279
36.744,-0.04780
38.785,0.00216
40.826,0.05810
42.868,0.10957
44.909,0.14771
46.950,0.17444
48.992,0.17589
51.033,0.15453
53.074,0.12575
55.116,0.08182
57.157,0.03512
59.198,-0.00907
61.240,-0.04846
63.281,-0.08076
65.322,-0.10257
67.363,-0.11525
69.405,-0.11785
71.446,-0.10978
73.487,-0.09211
75.529,-0.07540
77.570,-0.04345
79.611,-0.01544
81.653,0.00916
83.694,0.04592
85.735,0.06958
87.777,0.07161
89.818,0.09831
91.859,0.09349
93.901,0.08411
95.942,0.08165
97.983,0.05783
100.025,0.02927
102.066,0.01795
104.107,-0.01617
106.149,-0.04163
108.190,-0.05876
110.231,-0.07463
112.272,-0.08450
114.314,-0.08445
116.355,-0.07607
118.396,-0.06171
120.438,-0.04497
122.479,-0.01831
124.520,0.00818
126.562,0.02565
128.603,0.04505
130.644,0.06482
132.686,0.07003
134.727,0.07062
136.768,0.06468
138.810,0.05234
140.851,0.04090
142.892,0.02355
144.934,0.01188
146.975,-0.00740
149.016,-0.02414
151.058,-0.03142
153.099,-0.04719
155.140,-0.05670
157.181,-0.05500
159.223,-0.05565
161.264,-0.04853
163.305,-0.03712
165.347,-0.02475
167.388,-0.00737
169.429,0.01260
171.471,0.02821
173.512,0.04102
175.553,0.05191
177.595,0.05291
179.636,0.05336
181.677,0.04704
183.719,0.03471
185.760,0.02034
187.801,0.01426
189.843,-0.00508
191.884,-0.01687
193.925,-0.02364
195.967,-0.03383
198.008,-0.04050
200.049,-0.03806
202.090,-0.03800
204.132,-0.03679
206.173,-0.02656
208.214,-0.01992
210.256,-0.00806
212.297,0.00072
214.338,0.01522
216.380,0.02436
218.421,0.02880
220.462,0.03798
222.504,0.04168
224.545,0.03246
226.586,0.03262
228.628,0.02363
230.669,0.01029
232.710,0.00419
234.752,-0.00572
236.793,-0.01685
238.834,-0.02322
240.875,-0.02944
242.917,-0.03079
244.958,-0.03142
246.999,-0.02831
249.041,-0.02208
251.082,-0.01771
253.123,-0.00766
255.165,0.00064
257.206,0.00741
259.247,0.01507
261.289,0.02196
263.330,0.02395
265.371,0.02798
267.413,0.02667
269.454,0.02371
271.495,0.01971
273.537,0.01369
275.578,0.00615
277.619,0.00034
279.661,-0.00831
281.702,-0.01442
283.743,-0.01890
285.784,-0.02242
287.826,-0.02446
289.867,-0.02232
291.908,-0.02039
293.950,-0.01572
295.991,-0.00951
298.032,-0.00335
300.074,0.00140
302.115,0.00955
304.156,0.01433
306.198,0.01733
308.239,0.01867
310.280,0.01993
312.322,0.01839
314.363,0.01329
316.404,0.01232
318.446,0.00737
320.487,0.00151
322.528,-0.00307
324.570,-0.00681
326.611,-0.01343
328.652,-0.01480
330.693,-0.01632
332.735,-0.01783
334.776,-0.01599
336.817,-0.01313
338.859,-0.01045
340.900,-0.00608
342.941,-0.00125
344.983,0.00549
347.024,0.00786
349.065,0.01111
351.107,0.01614
353.148,0.01426
355.189,0.01398
357.231,0.01542
359.272,0.00942
361.313,0.00537
363.355,0.00460
365.396,-0.00219
367.437,-0.00504
369.479,-0.00735
371.520,-0.01085
373.561,-0.01234
375.602,-0.01399
377.644,-0.01276
379.685,-0.01120
381.726,-0.01038
383.768,-0.00593
385.809,-0.00171
387.850,0.00021
389.892,0.00420
391.933,0.00715
393.974,0.01068
396.016,0.01160
398.057,0.01146
400.098,0.01226
402.140,0.00932
404.181,0.00635
406.222,0.00481
408.264,0.00154
410.305,-0.00233
412.346,-0.00478
414.387,-0.00753
416.429,-0.00926
418.470,-0.01117
420.511,-0.01017
422.553,-0.00893
424.594,-0.00870
426.635,-0.00587
428.677,-0.00297
430.718,-0.00192
432.759,0.00230
434.801,0.00489
436.842,0.00704
438.883,0.00735
440.925,0.00802
442.966,0.00975
445.007,0.00678
447.049,0.00572
449.090,0.00660
451.131,0.00165
453.173,-0.00078
455.214,-0.00090
457.255,-0.00594
459.297,-0.00761
461.338,-0.00764
463.379,-0.00893
465.420,-0.00798
467.462,0.00099
