X,Y
1.333,126.6190
2.667,123.0417
4.000,126.7955
5.333,128.4375
6.667,126.1964
8.000,126.6429
9.333,123.0125
10.667,122.5000
12.000,118.2155
13.333,112.7917
14.667,107.5500
16.000,108.9551
17.333,111.3333
18.667,113.7368
20.000,114.8723
21.333,114.3920
22.667,114.7389
24.000,116.3305
25.333,113.5192
26.667,114.1435
28.000,117.7769
29.333,117.3024
30.667,117.7218
32.000,120.9133
33.333,122.2803
34.667,123.7607
36.000,125.1543
37.333,123.6071
38.667,124.1020
40.000,125.0192
41.333,119.8459
42.667,117.7642
44.000,117.7828
45.333,116.2070
46.667,117.3967
48.000,117.1560
49.333,114.2807
50.667,114.3678
52.000,114.5609
53.333,112.7455
54.667,110.8259
56.000,110.8583
57.333,111.2411
58.667,113.4854
60.000,114.5912
61.333,117.5644
62.667,121.3790
64.000,122.8103
65.333,123.4776
66.667,122.6951
68.000,122.2732
69.333,122.1500
70.667,119.7607
72.000,117.6056
73.333,115.2933
74.667,115.2078
76.000,115.0434
77.333,113.7363
78.667,113.8510
80.000,115.8897
81.333,117.8795
82.667,118.8586
84.000,118.1765
85.333,117.8062
86.667,117.7514
88.000,119.8192
89.333,119.5371
90.667,120.2997
92.000,121.9200
93.333,120.6944
94.667,121.0474
96.000,123.1152
97.333,122.7925
98.667,123.1654
100.000,124.2285
101.333,123.0094
102.667,120.5322
104.000,117.1385
105.333,113.2282
106.667,113.2928
108.000,113.7162
109.333,115.1732
110.667,116.4275
112.000,116.9283
113.333,117.8676
114.667,118.7026
116.000,120.8528
117.333,120.3181
118.667,118.5346
120.000,116.6359
121.333,115.4695
122.667,118.6594
124.000,119.4696
125.333,118.9846
126.667,118.2113
128.000,118.3595
129.333,120.0796
130.667,121.1307
132.000,121.0619
133.333,119.8183
134.667,119.1343
136.000,118.5685
137.333,118.9527
138.667,118.5370
140.000,117.4511
141.333,116.8272
142.667,115.8328
144.000,116.5072
145.333,117.1266
146.667,118.0733
148.000,118.6500
149.333,118.5601
150.667,119.0317
152.000,119.9124
153.333,121.3477
154.667,120.1820
156.000,118.5159
157.333,117.4410
158.667,117.9658
160.000,118.2148
161.333,118.7292
162.667,118.1550
164.000,116.8627
165.333,116.3699
166.667,117.2485
168.000,119.0925
169.333,118.9986
170.667,117.9513
172.000,118.1039
173.333,117.3388
174.667,117.9162
176.000,119.3212
177.333,119.9335
178.667,120.3122
180.000,119.8453
181.333,119.4909
182.667,119.7447
184.000,119.8529
185.333,120.9678
186.667,120.4724
188.000,120.2795
189.333,120.0446
190.667,118.3928
192.000,117.1663
193.333,116.1995
194.667,116.2712
196.000,116.4394
197.333,115.8567
198.667,116.4173
200.000,117.3907
201.333,117.7057
202.667,117.6172
204.000,118.3392
205.333,117.6331
206.667,118.7373
208.000,120.5111
209.333,121.9246
210.667,121.7095
212.000,120.2077
213.333,119.7979
214.667,120.3879
216.000,120.0985
217.333,120.3022
218.667,119.8477
220.000,117.4230
221.333,117.1536
222.667,116.6239
224.000,116.3953
225.333,115.3170
226.667,116.0092
228.000,117.1473
229.333,117.7099
230.667,119.2748
232.000,120.5055
233.333,119.9959
234.667,120.4756
236.000,120.8427
237.333,121.0131
238.667,120.1560
240.000,118.0547
241.333,116.6637
242.667,116.5477
244.000,117.4722
245.333,119.0473
246.667,120.1904
248.000,120.1855
249.333,120.4331
250.667,120.3682
252.000,119.6207
253.333,118.7248
254.667,117.3353
256.000,116.9382
257.333,117.4829
258.667,119.4009
260.000,120.8638
261.333,121.5724
262.667,121.2837
264.000,122.0633
265.333,120.8487
266.667,118.6828
268.000,118.4395
269.333,118.5099
270.667,118.7527
272.000,119.2206
273.333,118.4940
274.667,117.9186
276.000,118.8629
277.333,118.9251
278.667,118.6063
280.000,117.6071
281.333,118.0348
282.667,117.9654
284.000,117.1447
285.333,117.7014
286.667,118.5525
288.000,118.3146
289.333,118.5379
290.667,118.2346
292.000,117.7520
293.333,116.7582
294.667,116.8430
296.000,118.9042
297.333,119.4412
298.667,120.7067
300.000,122.0396
301.333,121.6431
302.667,121.5300
304.000,121.1563
305.333,120.4892
306.667,119.6831
308.000,118.6713
309.333,118.2389
310.667,117.7943
312.000,116.8396
313.333,118.2044
314.667,118.7169
316.000,119.2643
317.333,120.8689
318.667,121.9001
320.000,120.6896
321.333,119.9659
322.667,118.3716
324.000,117.6558
325.333,117.8261
326.667,117.7434
328.000,119.3085
329.333,119.7417
330.667,120.0770
332.000,121.7301
333.333,121.5995
334.667,121.8699
336.000,121.6039
337.333,119.6601
338.667,119.8711
340.000,118.6589
341.333,119.0412
342.667,119.9092
344.000,119.0112
345.333,119.2583
346.667,119.7342
348.000,119.5955
349.333,120.8506
350.667,121.0291
352.000,119.0347
353.333,118.1618
354.667,117.4068
356.000,117.7323
357.333,118.8038
358.667,120.6037
360.000,122.5997
361.333,121.9730
362.667,120.3991
364.000,121.3183
365.333,120.3767
366.667,120.9977
368.000,120.4693
369.333,119.5325
370.667,118.2603
372.000,116.9841
373.333,118.2273
374.667,118.3168
376.000,117.6685
377.333,119.0323
378.667,119.6626
380.000,118.6780
381.333,118.7371
382.667,118.0092
384.000,116.0621
385.333,115.3034
386.667,115.7876
388.000,117.6448
389.333,118.8735
390.667,119.9183
392.000,121.4549
393.333,120.8560
394.667,121.7140
396.000,122.1850
397.333,121.0606
398.667,121.0544
400.000,120.5706
401.333,120.1772
402.667,119.7694
404.000,119.5382
405.333,119.3437
406.667,119.5577
408.000,119.6616
409.333,120.8267
410.667,119.9365
412.000,119.1204
413.333,119.4505
414.667,118.9604
416.000,118.9346
417.333,118.9902
418.667,119.4980
420.000,121.0300
421.333,120.8980
422.667,121.3756
424.000,121.6572
425.333,120.3517
426.667,120.2306
428.000,120.2795
429.333,120.0125
430.667,120.6807
432.000,121.2211
433.333,120.3723
434.667,119.9492
436.000,117.9845
437.333,118.1750
438.667,117.8409
440.000,117.6198
441.333,118.6788
442.667,119.2280
444.000,119.3044
445.333,119.4883
446.667,119.7926
448.000,120.4607
449.333,121.0232
450.667,121.2407
452.000,121.6032
453.333,121.6427
454.667,121.5160
456.000,121.1858
457.333,120.7752
458.667,119.9259
460.000,119.0973
461.333,118.2760
462.667,118.8199
464.000,119.8320
465.333,120.4979
466.667,120.2896
468.000,119.5513
469.333,118.5377
470.667,117.1322
472.000,116.6084
473.333,117.4853
474.667,118.2536
476.000,118.9861
477.333,119.6429
478.667,120.9232
480.000,121.8034
481.333,122.1769
482.667,121.8133
484.000,120.9636
485.333,120.2046
486.667,119.7525
488.000,120.0193
489.333,120.6438
490.667,120.4483
492.000,119.9328
493.333,119.3496
494.667,118.1343
496.000,117.4310
497.333,116.9077
498.667,115.9211
500.000,114.9697
501.333,114.9664
502.667,114.8557
504.000,114.4380
505.333,115.1654
506.667,115.8063
508.000,116.3531
509.333,117.1304
510.667,117.3740
512.000,118.3820
