X,Y
0.0000E0,2.1070E2
1.0000E0,2.1070E2
2.0000E0,2.1113E2
3.0000E0,2.1140E2
4.0000E0,2.1159E2
5.0000E0,2.1210E2
6.0000E0,2.1216E2
7.0000E0,2.1219E2
8.0000E0,2.1291E2
9.0000E0,2.1300E2
1.0000E1,2.1324E2
1.1000E1,2.1327E2
1.2000E1,2.1354E2
1.3000E1,2.1367E2
1.4000E1,2.1381E2
1.5000E1,2.1377E2
1.6000E1,2.1287E2
1.7000E1,2.1295E2
1.8000E1,2.1307E2
1.9000E1,2.1334E2
2.0000E1,2.1377E2
2.1000E1,2.1377E2
2.2000E1,2.1413E2
2.3000E1,2.1434E2
2.4000E1,2.1446E2
2.5000E1,2.1447E2
2.6000E1,2.1450E2
2.7000E1,2.1491E2
2.8000E1,2.1508E2
2.9000E1,2.1524E2
3.0000E1,2.1563E2
3.1000E1,2.1559E2
3.2000E1,2.1512E2
3.3000E1,2.1509E2
3.4000E1,2.1536E2
3.5000E1,2.1577E2
3.6000E1,2.1578E2
3.7000E1,2.1618E2
3.8000E1,2.1648E2
3.9000E1,2.1644E2
4.0000E1,2.1652E2
4.1000E1,2.1656E2
4.2000E1,2.1710E2
4.3000E1,2.1736E2
4.4000E1,2.1752E2
4.5000E1,2.1809E2
4.6000E1,2.1820E2
4.7000E1,2.1820E2
4.8000E1,2.1693E2
4.9000E1,2.1697E2
5.0000E1,2.1747E2
5.1000E1,2.1748E2
5.2000E1,2.1782E2
5.3000E1,2.1822E2
5.4000E1,2.1825E2
5.5000E1,2.1839E2
5.6000E1,2.1903E2
5.7000E1,2.1924E2
5.8000E1,2.1935E2
5.9000E1,2.1938E2
6.0000E1,2.1973E2
6.1000E1,2.1975E2
6.2000E1,2.1988E2
6.3000E1,2.1928E2
6.4000E1,2.1919E2
6.5000E1,2.1845E2
6.6000E1,2.1837E2
6.7000E1,2.1868E2
6.8000E1,2.1903E2
6.9000E1,2.1900E2
7.0000E1,2.1964E2
7.1000E1,2.1970E2
7.2000E1,2.2001E2
7.3000E1,2.1997E2
7.4000E1,2.2018E2
7.5000E1,2.2056E2
7.6000E1,2.2063E2
7.7000E1,2.2084E2
7.8000E1,2.2109E2
7.9000E1,2.2013E2
8.0000E1,2.1986E2
8.1000E1,2.1883E2
8.2000E1,2.1937E2
8.3000E1,2.1956E2
8.4000E1,2.1970E2
8.5000E1,2.2014E2
8.6000E1,2.2029E2
8.7000E1,2.2032E2
8.8000E1,2.2049E2
8.9000E1,2.2076E2
9.0000E1,2.2142E2
9.1000E1,2.2143E2
9.2000E1,2.2200E2
9.3000E1,2.2243E2
9.4000E1,2.2246E2
9.5000E1,2.2251E2
9.6000E1,2.2088E2
9.7000E1,2.2107E2
9.8000E1,2.2130E2
9.9000E1,2.2140E2
1.0000E2,2.2202E2
1.0100E2,2.2203E2
1.0200E2,2.2220E2
1.0300E2,2.2253E2
1.0400E2,2.2282E2
1.0500E2,2.2288E2
1.0600E2,2.2288E2
1.0700E2,2.2318E2
1.0800E2,2.2343E2
1.0900E2,2.2349E2
1.1000E2,2.2394E2
1.1100E2,2.2389E2
1.1200E2,2.2344E2
1.1300E2,2.2344E2
1.1400E2,2.2350E2
1.1500E2,2.2405E2
1.1600E2,2.2410E2
1.1700E2,2.2438E2
1.1800E2,2.2477E2
1.1900E2,2.2476E2
1.2000E2,2.2494E2
1.2100E2,2.2497E2
1.2200E2,2.2514E2
1.2300E2,2.2556E2
1.2400E2,2.2563E2
1.2500E2,2.2611E2
1.2600E2,2.2615E2
1.2700E2,2.2618E2
1.2800E2,2.2541E2
1.2900E2,2.2538E2
1.3000E2,2.2589E2
1.3100E2,2.2592E2
1.3200E2,2.2621E2
1.3300E2,2.2651E2
1.3400E2,2.2651E2
1.3500E2,2.2661E2
1.3600E2,2.2722E2
1.3700E2,2.2741E2
1.3800E2,2.2764E2
1.3900E2,2.2774E2
1.4000E2,2.2831E2
1.4100E2,2.2838E2
1.4200E2,2.2861E2
1.4300E2,2.2744E2
1.4400E2,2.2713E2
1.4500E2,2.2593E2
1.4600E2,2.2583E2
1.4700E2,2.2631E2
1.4800E2,2.2677E2
1.4900E2,2.2675E2
1.5000E2,2.2754E2
1.5100E2,2.2764E2
1.5200E2,2.2740E2
1.5300E2,2.2732E2
1.5400E2,2.2747E2
1.5500E2,2.2800E2
1.5600E2,2.2810E2
1.5700E2,2.2826E2
1.5800E2,2.2871E2
1.5900E2,2.2824E2
1.6000E2,2.2806E2
1.6100E2,2.2759E2
1.6200E2,2.2777E2
1.6300E2,2.2818E2
1.6400E2,2.2822E2
1.6500E2,2.2873E2
1.6600E2,2.2878E2
1.6700E2,2.2883E2
1.6800E2,2.2904E2
1.6900E2,2.2912E2
1.7000E2,2.2973E2
1.7100E2,2.2979E2
1.7200E2,2.3006E2
1.7300E2,2.3050E2
1.7400E2,2.3052E2
1.7500E2,2.3033E2
1.7600E2,2.3009E2
1.7700E2,2.2995E2
1.7800E2,2.3025E2
1.7900E2,2.3032E2
1.8000E2,2.3102E2
1.8100E2,2.3106E2
1.8200E2,2.3117E2
1.8300E2,2.3154E2
1.8400E2,2.3237E2
1.8500E2,2.3240E2
1.8600E2,2.3240E2
1.8700E2,2.3260E2
1.8800E2,2.3273E2
1.8900E2,2.3277E2
1.9000E2,2.3304E2
1.9100E2,2.3297E2
1.9200E2,2.3234E2
1.9300E2,2.3239E2
1.9400E2,2.3239E2
1.9500E2,2.3276E2
1.9600E2,2.3280E2
1.9700E2,2.3280E2
1.9800E2,2.3317E2
1.9900E2,2.3324E2
2.0000E2,2.3357E2
2.0100E2,2.3359E2
2.0200E2,2.3386E2
2.0300E2,2.3425E2
2.0400E2,2.3428E2
2.0500E2,2.3477E2
2.0600E2,2.3493E2
2.0700E2,2.3479E2
2.0800E2,2.3323E2
2.0900E2,2.3313E2
2.1000E2,2.3373E2
2.1100E2,2.3380E2
2.1200E2,2.3402E2
2.1300E2,2.3451E2
2.1400E2,2.3453E2
2.1500E2,2.3451E2
2.1600E2,2.3481E2
2.1700E2,2.3530E2
2.1800E2,2.3567E2
2.1900E2,2.3570E2
2.2000E2,2.3649E2
2.2100E2,2.3667E2
2.2200E2,2.3670E2
2.2300E2,2.3549E2
2.2400E2,2.3544E2
2.2500E2,2.3370E2
2.2600E2,2.3354E2
2.2700E2,2.3399E2
2.2800E2,2.3454E2
2.2900E2,2.3460E2
2.3000E2,2.3546E2
2.3100E2,2.3549E2
2.3200E2,2.3499E2
2.3300E2,2.3494E2
2.3400E2,2.3500E2
2.3500E2,2.3586E2
2.3600E2,2.3594E2
2.3700E2,2.3616E2
2.3800E2,2.3691E2
2.3900E2,2.3692E2
2.4000E2,2.3591E2
2.4100E2,2.3580E2
2.4200E2,2.3626E2
2.4300E2,2.3680E2
2.4400E2,2.3687E2
2.4500E2,2.3773E2
2.4600E2,2.3781E2
2.4700E2,2.3775E2
2.4800E2,2.3742E2
2.4900E2,2.3748E2
2.5000E2,2.3828E2
2.5100E2,2.3834E2
2.5200E2,2.3862E2
2.5300E2,2.3926E2
2.5400E2,2.3927E2
2.5500E2,2.3922E2
2.5600E2,2.3862E2
2.5700E2,2.3874E2
2.5800E2,2.3900E2
2.5900E2,2.3905E2
2.6000E2,2.3953E2
2.6100E2,2.3960E2
2.6200E2,2.3965E2
2.6300E2,2.3991E2
2.6400E2,2.4037E2
2.6500E2,2.4048E2
2.6600E2,2.4048E2
2.6700E2,2.4094E2
2.6800E2,2.4148E2
2.6900E2,2.4151E2
2.7000E2,2.4230E2
2.7100E2,2.4233E2
2.7200E2,2.4069E2
2.7300E2,2.4053E2
2.7400E2,2.4060E2
2.7500E2,2.4145E2
2.7600E2,2.4153E2
2.7700E2,2.4176E2
2.7800E2,2.4250E2
2.7900E2,2.4252E2
2.8000E2,2.4220E2
2.8100E2,2.4219E2
2.8200E2,2.4231E2
2.8300E2,2.4291E2
