ID Particle,ID Class,Area,Perimeter,Shape Factor,ECD,Center Gravity X,Center Gravity Y,Convex Area,Grayvalue Mean,Grayvalue StdDev,Proj X,Proj Y
,,mmý,mm,,mm,mm,mm,mmý,,,mm,mm
1,1,166.00000,45.88409,0.99082,14.53815,82.00000,8.00000,170.00000,72.33133,12.63691,15.00000,14.00000
2,1,245.00000,55.87904,0.98600,17.66193,44.00000,12.00000,255.00000,54.10612,20.34350,18.00000,18.00000
3,1,142.00000,45.59421,0.85838,13.44619,378.00000,16.00000,193.00000,79.40845,9.29270,14.00000,13.00000
4,1,209.00000,53.21236,0.92754,16.31279,283.00000,19.00000,218.00000,68.07656,16.09374,17.00000,16.00000
5,1,226.00000,53.15164,1.00528,16.96326,27.00000,20.00000,231.00000,62.69912,15.66965,17.00000,17.00000
6,,269.00000,66.68185,0.76023,18.50679,184.00000,28.00000,299.00000,61.92937,19.86195,18.00000,24.00000
7,1,283.00000,60.73909,0.96396,18.98228,99.00000,27.00000,294.00000,55.58657,20.13616,20.00000,19.00000
8,1,186.00000,48.25819,1.00365,15.38904,155.00000,26.00000,190.00000,62.16129,14.95893,15.00000,16.00000
9,,139.00000,49.23543,0.72056,13.30339,395.00000,24.00000,157.00000,84.79137,7.78624,15.00000,14.00000
10,,305.00000,69.42832,0.79513,19.70629,456.00000,32.00000,329.00000,76.30492,15.24323,25.00000,18.00000
