 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,spheres-1.tif,738,255,99.154,0.943,1.015,0.985,0.964
2,spheres-1.tif,667,255,94.326,0.942,1.006,0.994,0.962
3,spheres-1.tif,738,255,99.397,0.939,1.007,0.993,0.961
4,spheres-1.tif,671,255,95.983,0.915,1.018,0.982,0.957
5,spheres-1.tif,670,255,96.569,0.903,1.015,0.986,0.952
6,spheres-1.tif,735,255,99.397,0.935,1.013,0.988,0.960
7,spheres-1.tif,669,255,94.912,0.933,1.011,0.989,0.960
8,spheres-1.tif,667,255,94.326,0.942,1.009,0.991,0.960
9,spheres-1.tif,736,255,99.397,0.936,1.012,0.989,0.961
10,spheres-1.tif,740,255,99.983,0.930,1.007,0.993,0.959
11,spheres-1.tif,731,255,98.326,0.950,1.003,0.997,0.966
12,spheres-1.tif,736,255,99.154,0.941,1.024,0.977,0.962
13,spheres-1.tif,668,255,94.912,0.932,1.013,0.987,0.960
14,spheres-1.tif,671,255,95.154,0.931,1.021,0.979,0.958
15,spheres-1.tif,667,255,94.326,0.942,1.007,0.993,0.960
16,spheres-1.tif,668,255,94.912,0.932,1.010,0.990,0.959
17,spheres-1.tif,666,255,94.912,0.929,1.009,0.991,0.956
18,spheres-1.tif,728,255,98.569,0.942,1.017,0.984,0.962
19,spheres-1.tif,673,255,95.154,0.934,1.024,0.977,0.958
20,spheres-1.tif,661,255,94.326,0.934,1.008,0.993,0.957
21,spheres-1.tif,726,255,97.983,0.950,1.010,0.990,0.964
22,spheres-1.tif,735,255,99.397,0.935,1.011,0.989,0.958
23,spheres-1.tif,665,255,94.326,0.939,1.006,0.994,0.959
24,spheres-1.tif,737,255,99.397,0.937,1.012,0.988,0.960
25,spheres-1.tif,738,255,99.983,0.928,1.007,0.993,0.958
26,spheres-1.tif,741,255,99.983,0.931,1.005,0.995,0.960
27,spheres-1.tif,671,255,95.740,0.920,1.021,0.979,0.955
28,spheres-1.tif,680,255,95.983,0.928,1.001,0.999,0.954
29,spheres-1.tif,668,255,94.912,0.932,1.009,0.991,0.958
30,spheres-1.tif,730,255,97.983,0.956,1.002,0.998,0.966
31,spheres-1.tif,737,255,99.983,0.926,1.012,0.988,0.957
32,spheres-1.tif,736,255,99.397,0.936,1.015,0.985,0.960
33,spheres-1.tif,734,255,99.154,0.938,1.014,0.987,0.961
34,spheres-1.tif,732,255,98.569,0.947,1.007,0.993,0.963
35,spheres-1.tif,675,255,95.740,0.925,1.019,0.982,0.957
