spheres-1-area-sq-px,spheres-2-area-sq-px,spheres-3-area-sq-px
738,531,157
667,542,155
738,416,159
671,598,125
670,537,155
735,607,154
669,740,126
667,738,153
736,670,152
740,596,124
731,669,156
736,743,124
668,603,122
671,542,195
667,541,156
668,598,155
666,536,121
728,534,154
673,476,156
661,671,125
726,680,154
735,534,156
665,603,157
737,472,126
738,420,96
741,537,157
671,535,125
680,421,97
668,734,156
730,536,156
737,532,153
736,530,149
734,597,185
732,672,123
675,,126
,,159
,,151
,,101
,,156
,,121
,,156
,,126
,,161
,,125
,,125
,,154
,,123
,,153
,,150
,,124
,,193
,,120
,,154
,,120
,,125
,,198
,,124
,,120
,,124
,,126
,,152
,,196
,,158
,,195
,,155
,,125
,,125
,,123
,,98
,,97
,,120
,,193
,,157
,,71
,,154
,,102
,,124
,,124
,,126
,,120
,,125
,,154
,,99
,,157
,,126
,,154
,,122
,,153
,,125
,,155
,,126
,,188
,,152
,,124
,,124
,,124
,,155
,,123
,,156
,,120
,,156
,,100
,,156
,,120
,,154
,,126
,,153
,,126
,,157
,,122
,,156
,,156
,,120
,,152
,,126
,,157
,,196
,,156
,,153
,,124
,,155
,,125
,,156
,,161
,,122
,,102
,,156
,,120
,,122
,,152
,,122
,,125
,,153
,,125
,,153
,,127
,,126
,,97
,,157
,,156
,,126
,,126
,,126
,,120
,,125
,,123
,,122
,,157
,,125
,,158
,,155
,,154
,,96
,,153
,,125
,,101
,,195
,,120
,,100
,,123
,,121
,,194
,,155
,,125
,,100
,,122
