 ,R,AC
1,2.041,0.897
2,4.083,0.716
3,6.124,0.545
4,8.165,0.384
5,10.207,0.246
6,12.248,0.129
7,14.289,0.032
8,16.331,-0.038
9,18.372,-0.097
10,20.413,-0.143
11,22.454,-0.170
12,24.496,-0.185
13,26.537,-0.187
14,28.578,-0.177
15,30.620,-0.158
16,32.661,-0.131
17,34.702,-0.093
18,36.744,-0.048
19,38.785,0.002
20,40.826,0.058
21,42.868,0.110
22,44.909,0.148
23,46.950,0.174
24,48.992,0.176
25,51.033,0.155
26,53.074,0.126
27,55.116,0.082
28,57.157,0.035
29,59.198,-0.009
30,61.240,-0.048
31,63.281,-0.081
32,65.322,-0.103
33,67.363,-0.115
34,69.405,-0.118
35,71.446,-0.110
36,73.487,-0.092
37,75.529,-0.075
38,77.570,-0.043
39,79.611,-0.015
40,81.653,0.009
41,83.694,0.046
42,85.735,0.070
43,87.777,0.072
44,89.818,0.098
45,91.859,0.093
46,93.901,0.084
47,95.942,0.082
48,97.983,0.058
49,100.025,0.029
50,102.066,0.018
51,104.107,-0.016
52,106.149,-0.042
53,108.190,-0.059
54,110.231,-0.075
55,112.272,-0.085
56,114.314,-0.084
57,116.355,-0.076
58,118.396,-0.062
59,120.438,-0.045
60,122.479,-0.018
61,124.520,0.008
62,126.562,0.026
63,128.603,0.045
64,130.644,0.065
65,132.686,0.070
66,134.727,0.071
67,136.768,0.065
68,138.810,0.052
69,140.851,0.041
70,142.892,0.024
71,144.934,0.012
72,146.975,-0.007
73,149.016,-0.024
74,151.058,-0.031
75,153.099,-0.047
76,155.140,-0.057
77,157.181,-0.055
78,159.223,-0.056
79,161.264,-0.049
80,163.305,-0.037
81,165.347,-0.025
82,167.388,-0.007
83,169.429,0.013
84,171.471,0.028
85,173.512,0.041
86,175.553,0.052
87,177.595,0.053
88,179.636,0.053
89,181.677,0.047
90,183.719,0.035
91,185.760,0.020
92,187.801,0.014
93,189.843,-0.005
94,191.884,-0.017
95,193.925,-0.024
96,195.967,-0.034
97,198.008,-0.040
98,200.049,-0.038
99,202.090,-0.038
100,204.132,-0.037
101,206.173,-0.027
102,208.214,-0.020
103,210.256,-0.008
104,212.297,7.217E-4
105,214.338,0.015
106,216.380,0.024
107,218.421,0.029
108,220.462,0.038
109,222.504,0.042
110,224.545,0.032
111,226.586,0.033
112,228.628,0.024
113,230.669,0.010
114,232.710,0.004
115,234.752,-0.006
116,236.793,-0.017
117,238.834,-0.023
118,240.875,-0.029
119,242.917,-0.031
120,244.958,-0.031
121,246.999,-0.028
122,249.041,-0.022
123,251.082,-0.018
124,253.123,-0.008
125,255.165,6.363E-4
126,257.206,0.007
127,259.247,0.015
128,261.289,0.022
129,263.330,0.024
130,265.371,0.028
131,267.413,0.027
132,269.454,0.024
133,271.495,0.020
134,273.537,0.014
135,275.578,0.006
136,277.619,3.417E-4
137,279.661,-0.008
138,281.702,-0.014
139,283.743,-0.019
140,285.784,-0.022
141,287.826,-0.024
142,289.867,-0.022
143,291.908,-0.020
144,293.950,-0.016
145,295.991,-0.010
146,298.032,-0.003
147,300.074,0.001
148,302.115,0.010
149,304.156,0.014
150,306.198,0.017
151,308.239,0.019
152,310.280,0.020
153,312.322,0.018
154,314.363,0.013
155,316.404,0.012
156,318.446,0.007
157,320.487,0.002
158,322.528,-0.003
159,324.570,-0.007
160,326.611,-0.013
161,328.652,-0.015
162,330.693,-0.016
163,332.735,-0.018
164,334.776,-0.016
165,336.817,-0.013
166,338.859,-0.010
167,340.900,-0.006
168,342.941,-0.001
169,344.983,0.005
170,347.024,0.008
171,349.065,0.011
172,351.107,0.016
173,353.148,0.014
174,355.189,0.014
175,357.231,0.015
176,359.272,0.009
177,361.313,0.005
178,363.355,0.005
179,365.396,-0.002
180,367.437,-0.005
181,369.479,-0.007
182,371.520,-0.011
183,373.561,-0.012
184,375.602,-0.014
185,377.644,-0.013
186,379.685,-0.011
187,381.726,-0.010
188,383.768,-0.006
189,385.809,-0.002
190,387.850,2.061E-4
191,389.892,0.004
192,391.933,0.007
193,393.974,0.011
194,396.016,0.012
195,398.057,0.011
196,400.098,0.012
197,402.140,0.009
198,404.181,0.006
199,406.222,0.005
200,408.264,0.002
201,410.305,-0.002
202,412.346,-0.005
203,414.387,-0.008
204,416.429,-0.009
205,418.470,-0.011
206,420.511,-0.010
207,422.553,-0.009
208,424.594,-0.009
209,426.635,-0.006
210,428.677,-0.003
211,430.718,-0.002
212,432.759,0.002
213,434.801,0.005
214,436.842,0.007
215,438.883,0.007
216,440.925,0.008
217,442.966,0.010
218,445.007,0.007
219,447.049,0.006
220,449.090,0.007
221,451.131,0.002
222,453.173,-7.783E-4
223,455.214,-8.976E-4
224,457.255,-0.006
225,459.297,-0.008
226,461.338,-0.008
227,463.379,-0.009
228,465.420,-0.008
229,467.462,9.870E-4
