PRZ of Cu
Intensities:
Ka1: 3032.96 ABS: 2947.72
La1: 7495.31 ABS: 3109.58
Depth(nm)	Intensity: K	Intensity K ABS	Intensity: LIII	Intensity: LIII ABS
0	1.25003	1.24965	1.43733	1.42464
3.80206	1.44269	1.44196	1.75417	1.72834
7.60412	1.49829	1.49718	1.86358	1.82271
11.4062	1.52652	1.525	1.91758	1.86108
15.2082	1.55476	1.55281	1.99501	1.92065
19.0103	1.60953	1.60707	2.08153	1.98757
22.8124	1.63975	1.6368	2.1278	2.01518
26.6144	1.66321	1.65976	2.14842	2.01781
30.4165	1.67935	1.67541	2.17623	2.027
34.2185	1.71986	1.71534	2.24328	2.07191
38.0206	1.73487	1.72985	2.28065	2.08924
41.8226	1.76464	1.75904	2.31709	2.10486
45.6247	1.79649	1.79029	2.38509	2.1485
49.4268	1.81131	1.80456	2.40096	2.14474
53.2288	1.82714	1.81983	2.43038	2.15315
57.0309	1.86838	1.86039	2.48294	2.18145
60.8329	1.88516	1.87659	2.50313	2.18092
64.635	1.89689	1.88774	2.55474	2.20731
68.4371	1.93015	1.92031	2.56857	2.20068
72.2391	1.97006	1.95946	2.63274	2.23682
76.0412	1.9902	1.97895	2.68017	2.25818
79.8432	1.99259	1.98079	2.71849	2.27149
83.6453	2.00293	1.99051	2.75329	2.2814
87.4473	1.98392	1.97107	2.72791	2.24141
91.2494	2.04195	2.02816	2.79308	2.27588
95.0515	2.09482	2.08011	2.8703	2.31939
98.8535	2.09495	2.07965	2.89852	2.32263
102.656	2.125	2.10891	2.94183	2.33796
106.458	2.14507	2.12823	2.9813	2.34944
110.26	2.17704	2.15935	3.02122	2.36105
114.062	2.13029	2.1124	2.93936	2.27805
117.864	2.14468	2.12608	2.97512	2.28657
121.666	2.1542	2.13493	3.00341	2.28905
125.468	2.20041	2.18012	3.06346	2.31531
129.27	2.20837	2.1874	3.09649	2.32076
133.072	2.22598	2.20424	3.12876	2.32545
136.874	2.26292	2.24021	3.16102	2.33005
140.676	2.29155	2.26791	3.22042	2.35394
144.478	2.27944	2.2553	3.20197	2.32107
148.28	2.29867	2.2737	3.23226	2.32342
152.082	2.31054	2.28481	3.26738	2.32909
155.884	2.36005	2.33313	3.32957	2.35372
159.686	2.38157	2.35375	3.36619	2.35989
163.489	2.35526	2.3271	3.38219	2.35123
167.291	2.40478	2.37538	3.46829	2.39111
171.093	2.37879	2.34904	3.42816	2.34362
174.895	2.36252	2.33233	3.40219	2.30643
178.697	2.41726	2.38572	3.52609	2.37065
182.499	2.43639	2.40393	3.53512	2.35689
186.301	2.43993	2.40676	3.53314	2.33604
190.103	2.40833	2.37494	3.46824	2.27419
193.905	2.40279	2.36883	3.48061	2.26327
197.707	2.40929	2.37457	3.49569	2.25413
201.509	2.37122	2.3364	3.46078	2.21296
205.311	2.39236	2.35658	3.48874	2.21223
