PRZ of Zn
Intensities:
Ka1: 141.227 ABS: 138.023
La1: 389.824 ABS: 25.6666
Depth(nm)	Intensity: K	Intensity K ABS	Intensity: LIII	Intensity: LIII ABS
0	1.23716	1.23684	1.43381	1.3599
3.80206	1.42048	1.41989	1.74777	1.5989
7.60412	1.47367	1.47278	1.85564	1.6241
11.4062	1.50031	1.49908	1.9085	1.59419
15.2082	1.52683	1.52525	1.98529	1.57938
19.0103	1.57958	1.57759	2.07053	1.56755
22.8124	1.60872	1.60634	2.11676	1.52526
26.6144	1.63178	1.629	2.13731	1.46443
30.4165	1.64528	1.6421	2.16553	1.41095
34.2185	1.68542	1.68178	2.23136	1.38161
38.0206	1.6998	1.69576	2.26861	1.33682
41.8226	1.7279	1.7234	2.30531	1.29124
45.6247	1.75823	1.75325	2.37245	1.26301
49.4268	1.77314	1.7677	2.38855	1.20869
53.2288	1.78882	1.78294	2.41758	1.16378
57.0309	1.82968	1.82325	2.46968	1.13041
60.8329	1.84538	1.83848	2.48921	1.08332
64.635	1.85585	1.84849	2.53988	1.05076
68.4371	1.8901	1.88217	2.55407	1.00427
72.2391	1.92766	1.91913	2.61704	0.978151
76.0412	1.94595	1.9369	2.66421	0.946768
79.8432	1.94878	1.93928	2.70094	0.912708
83.6453	1.95623	1.94625	2.73539	0.878781
87.4473	1.93795	1.92762	2.70957	0.827273
91.2494	1.99355	1.98248	2.77528	0.805625
95.0515	2.04377	2.03196	2.85229	0.787298
98.8535	2.04343	2.03116	2.88028	0.755758
102.656	2.07225	2.05934	2.92227	0.729447
106.458	2.09197	2.07846	2.96136	0.70248
110.26	2.12351	2.10932	3.00025	0.676569
114.062	2.08034	2.06597	2.9196	0.626105
117.864	2.09204	2.07712	2.95455	0.602395
121.666	2.10036	2.0849	2.98301	0.578143
125.468	2.1442	2.12794	3.04324	0.560657
129.27	2.15015	2.13335	3.07643	0.538787
133.072	2.16753	2.15011	3.10789	0.517508
136.874	2.20453	2.18632	3.14023	0.497373
140.676	2.23093	2.212	3.19934	0.481591
144.478	2.21942	2.20008	3.18025	0.455251
148.28	2.23863	2.21862	3.2096	0.436704
152.082	2.2506	2.22998	3.24363	0.419555
155.884	2.29868	2.2771	3.30685	0.406713
159.686	2.31849	2.29621	3.34395	0.391097
163.489	2.29082	2.26828	3.35844	0.373319
167.291	2.33848	2.31495	3.44385	0.364038
171.093	2.31442	2.29061	3.4037	0.341929
174.895	2.29702	2.27286	3.37772	0.322541
178.697	2.34807	2.32286	3.49966	0.317816
182.499	2.36728	2.34133	3.50932	0.302953
186.301	2.36876	2.34226	3.50841	0.288013
190.103	2.33953	2.31284	3.44412	0.26892
193.905	2.33434	2.30718	3.45539	0.256486
197.707	2.33849	2.31076	3.47064	0.244906
201.509	2.30007	2.27227	3.43586	0.230457
205.311	2.3222	2.29361	3.46285	0.220794
209.113	2.31477	2.28576	3.46582	0.210128
212.915	2.35079	2.32079	3.54751	0.204471
216.717	2.33319	2.3029	3.55626	0.194897
220.519	2.31916	2.28853	3.52751	0.183836
224.321	2.31687	2.28575	3.51812	0.174296
228.124	2.32927	2.29746	3.56028	0.167665
231.926	2.31561	2.28347	3.58581	0.160581
235.728	2.321	2.28826	3.59639	0.153105
239.53	2.31633	2.28314	3.58698	0.145157
243.332	2.33813	2.30411	3.61485	0.139117
247.134	2.32397	2.28963	3.58236	0.131059
250.936	2.29307	2.25868	3.53643	0.123024
254.738	2.26962	2.23507	3.53741	0.11698
258.54	2.2954	2.25994	3.57772	0.11244
262.342	2.27964	2.24392	3.59241	0.107385
266.144	2.25548	2.21963	3.56711	0.101376
269.946	2.28076	2.244	3.58016	0.096718
273.748	2.29772	2.26017	3.6461	0.0936489
277.55	2.33025	2.29165	3.662	0.0894066
281.352	2.28526	2.24689	3.59581	0.0834945
285.154	2.28161	2.24279	3.60517	0.0795903
288.956	2.297	2.25741	3.66782	0.07698
292.759	2.27551	2.23578	3.66838	0.0731721
296.561	2.23847	2.19889	3.64626	0.0691711
300.363	2.22348	2.18367	3.62968	0.0654694
304.165	2.20973	2.16967	3.60369	0.0617985
307.967	2.19102	2.1508	3.62347	0.0590646
311.769	2.16631	2.12606	3.56461	0.055234
315.571	2.15161	2.11116	3.55202	0.0523214
319.373	2.16526	2.12407	3.6017	0.0504395
323.175	2.14713	2.10581	3.59259	0.0478701
326.977	2.14932	2.10748	3.60338	0.045635
330.779	2.12263	2.08083	3.5869	0.0431774
334.581	2.11683	2.07468	3.6086	0.0413042
338.383	2.10152	2.0592	3.59773	0.039147
342.185	2.09564	2.05297	3.57024	0.03694
345.987	2.10092	2.05768	3.57134	0.035125
349.789	2.09605	2.05244	3.56005	0.0332892
353.591	2.05627	2.01303	3.52442	0.0313299
357.394	2.05091	2.00733	3.54282	0.0299441
361.196	2.01786	1.97453	3.46336	0.0278336
364.998	2.00865	1.96508	3.44935	0.0263513
368.8	2.01847	1.97423	3.48838	0.0253356
372.602	2.04461	1.99934	3.53711	0.0244301
376.404	2.03015	1.98476	3.50246	0.0230018
380.206	2.02741	1.98163	3.50117	0.0218598
384.008	2.03432	1.98793	3.51814	0.0208847
387.81	2.01235	1.96601	3.49818	0.0197346
391.612	2.01091	1.96416	3.48448	0.0186937
395.414	1.98323	1.93668	3.47064	0.0176998
399.216	1.97288	1.92614	3.50541	0.0170016
403.018	1.93152	1.88533	3.42184	0.0157749
406.82	1.8897	1.84408	3.40329	0.0149139
410.622	1.92601	1.8791	3.46821	0.014451
414.424	1.90006	1.85335	3.47295	0.0137584
418.226	1.88856	1.84172	3.41493	0.0128654
422.029	1.91516	1.86724	3.47887	0.0124589
425.831	1.90789	1.85973	3.47892	0.0118426
429.633	1.85993	1.81257	3.45646	0.0111911
433.435	1.8373	1.7901	3.43781	0.0105812
437.237	1.80839	1.76154	3.37653	0.00988329
441.039	1.77314	1.7268	3.29544	0.00916531
444.841	1.78676	1.73968	3.36304	0.00889283
448.643	1.78719	1.7397	3.3349	0.00838427
452.445	1.7587	1.71158	3.29532	0.0078808
456.247	1.72869	1.68199	3.2565	0.00739944
460.049	1.70375	1.65735	3.25315	0.00702969
463.851	1.70221	1.65548	3.25914	0.00669629
467.653	1.66812	1.62195	3.21594	0.00628106
471.455	1.67821	1.63139	3.24082	0.00601953
475.257	1.62945	1.58363	3.1484	0.00555754
479.059	1.6372	1.5908	3.18487	0.00534389
482.861	1.63791	1.59112	3.18588	0.00508423
486.664	1.61477	1.5683	3.14015	0.0047645
490.466	1.62292	1.57585	3.19207	0.00460552
494.268	1.60543	1.55851	3.17013	0.0043475
498.07	1.6066	1.5593	3.19497	0.00416574
501.872	1.58227	1.53533	3.16184	0.00392033
505.674	1.56927	1.52237	3.09199	0.00364486
509.476	1.52317	1.47731	3.08071	0.00345012
513.278	1.51746	1.47144	3.08783	0.00328868
517.08	1.51393	1.46768	3.09424	0.00313389
520.882	1.5241	1.47721	3.09842	0.00298301
524.684	1.49768	1.45127	3.10668	0.00284363
528.486	1.45505	1.40964	3.02082	0.00262917
532.288	1.45083	1.40523	2.99256	0.00247698
536.09	1.43753	1.39204	2.99145	0.00235351
539.892	1.43106	1.38545	3.00419	0.00224641
543.694	1.41377	1.3684	2.97773	0.00211729
547.496	1.42675	1.38065	2.99014	0.00202187
551.299	1.38431	1.33928	2.92074	0.00187731
555.101	1.41356	1.36727	2.96657	0.00181321
558.903	1.36095	1.31608	2.87619	0.00167087
562.705	1.33349	1.28923	2.86649	0.00158326
