img, part, ecd.nm, contrast, circ, a.r, round, solidity
1, 1, 43.59, 0.7995, 0.5639, 2.6994, 0.3704, 0.9611
1, 2, 53.69, 0.4434, 0.6735, 2.0132, 0.4967, 0.9649
1, 3, 90.12, 0.6636, 0.9008, 1.0443, 0.9576, 0.9768
1, 4, 17.80, 0.3384, 0.4390, 4.1268, 0.2423, 0.9415
1, 5, 80.90, 0.6043, 0.8833, 1.0262, 0.9745, 0.9716
1, 6, 86.41, 0.7441, 0.8947, 1.0364, 0.9649, 0.9778
1, 7, 51.17, 0.7915, 0.5959, 2.4485, 0.4084, 0.9688
1, 8, 16.20, 0.7319, 0.3551, 4.7567, 0.2102, 0.9211
1, 9, 85.56, 0.6587, 0.8779, 1.0282, 0.9726, 0.9731
1, 10, 82.39, 0.4541, 0.8552, 1.0164, 0.9839, 0.9686
1, 11, 79.44, 0.5810, 0.8858, 1.0241, 0.9765, 0.9706
1, 12, 57.16, 0.4741, 0.8771, 1.0223, 0.9782, 0.9617
1, 13, 77.94, 0.8421, 0.8839, 1.0480, 0.9542, 0.9669
1, 14, 68.26, 0.6755, 0.8977, 1.0309, 0.9701, 0.9683
1, 15, 80.87, 0.5743, 0.8768, 1.0159, 0.9843, 0.9713
1, 16, 75.36, 0.4973, 0.8617, 1.0283, 0.9725, 0.9679
1, 17, 71.18, 0.8540, 0.8625, 1.0352, 0.9660, 0.9640
1, 18, 71.79, 0.5340, 0.8748, 1.0295, 0.9713, 0.9698
1, 19, 32.80, 0.3655, 0.6916, 1.0871, 0.9198, 0.9032
1, 20, 68.63, 0.4499, 0.8432, 1.0318, 0.9692, 0.9593
1, 21, 76.64, 0.6239, 0.8653, 1.1325, 0.8830, 0.9727
1, 22, 84.44, 0.5827, 0.8810, 1.0479, 0.9543, 0.9703
1, 23, 88.62, 0.5846, 0.8776, 1.0271, 0.9736, 0.9720
1, 24, 77.89, 0.5298, 0.9016, 1.0488, 0.9535, 0.9737
1, 25, 72.55, 0.5266, 0.8973, 1.0349, 0.9663, 0.9725
1, 26, 65.46, 0.5604, 0.8894, 1.0040, 0.9960, 0.9654
1, 27, 78.38, 0.8956, 0.9193, 1.0227, 0.9778, 0.9811
1, 28, 73.99, 0.5324, 0.8857, 1.0070, 0.9930, 0.9720
1, 29, 74.37, 0.8163, 0.8996, 1.0184, 0.9819, 0.9688
1, 30, 79.75, 0.5408, 0.8662, 1.0215, 0.9790, 0.9671
1, 31, 70.33, 0.5372, 0.9081, 1.0377, 0.9637, 0.9716
1, 32, 54.90, 0.8711, 0.8743, 1.0204, 0.9800, 0.9583
1, 33, 87.33, 0.6226, 0.8826, 1.0358, 0.9654, 0.9723
1, 34, 91.67, 0.5118, 0.9033, 1.0182, 0.9821, 0.9764
1, 35, 74.33, 0.5907, 0.8654, 1.0376, 0.9637, 0.9672
1, 36, 72.11, 0.5243, 0.8718, 1.0275, 0.9733, 0.9622
1, 37, 51.70, 0.4567, 0.6625, 1.9068, 0.5244, 0.9609
