um,cts
1.122,0
1.152,0
1.183,0
1.215,0
1.248,121
1.282,115
1.316,98
1.351,106
1.388,73
1.425,60
1.464,70
1.503,61
1.544,48
1.585,50
1.628,55
1.672,48
1.717,53
1.763,47
1.811,25
1.859,35
1.909,22
1.961,27
2.014,39
2.068,21
2.124,25
2.181,21
2.24,31
2.3,28
2.362,29
2.425,18
2.491,23
2.558,19
2.627,18
2.698,18
2.77,26
2.845,22
2.922,18
3,21
3.081,12
3.164,18
3.249,18
3.337,23
3.427,11
3.519,5
3.614,10
3.711,19
3.811,16
3.914,17
4.019,14
4.128,16
4.239,15
4.353,18
4.47,23
4.591,17
4.714,28
4.841,37
4.972,41
5.106,51
5.243,75
5.385,71
5.53,91
5.679,118
5.832,172
5.989,228
6.15,322
6.316,402
6.486,505
6.661,629
6.84,784
7.024,913
7.214,1107
7.408,1357
7.607,1623
7.812,1912
8.023,2059
8.239,2510
8.461,2638
8.689,2847
8.923,2896
9.163,2803
9.41,2451
9.664,2400
9.924,2086
10.191,1727
10.466,1508
10.748,1137
11.038,828
11.335,565
11.64,415
11.954,253
12.276,178
12.607,103
12.946,71
13.295,46
13.653,37
14.021,19
14.399,15
14.787,9
15.185,13
15.594,8
16.014,11
16.445,5
16.889,11
17.343,8
17.811,3
18.291,8
18.783,2
19.289,3
19.809,2
20.343,3
20.891,1
21.453,1
22.031,0
22.625,1
23.234,0
23.86,1
24.503,0
25.163,0
25.841,0
26.537,0
27.252,0
27.986,0
28.74,0
29.515,0
30.31,0
31.126,1
31.965,0
32.826,0
