Z.nm,Hits
0.000000,0.000655
0.362697,0.000708
0.725394,0.000524
1.088091,0.000813
1.450789,0.000734
1.813486,0.000524
2.176183,0.000498
2.538880,0.000682
2.901577,0.001048
3.264274,0.000786
3.626972,0.000708
3.989669,0.000734
4.352366,0.000655
4.715063,0.000891
5.077760,0.000970
5.440457,0.000813
5.803155,0.000891
6.165852,0.000682
6.528549,0.000682
6.891246,0.000498
7.253943,0.000786
7.616640,0.001022
7.979338,0.000839
8.342035,0.000813
8.704732,0.000839
9.067429,0.000891
9.430126,0.000839
9.792823,0.000760
10.155521,0.000865
10.518218,0.000577
10.880915,0.000786
11.243612,0.000839
11.606309,0.000917
11.969006,0.000786
12.331704,0.001048
12.694401,0.000524
13.057098,0.000944
13.419795,0.000944
13.782492,0.000865
14.145189,0.000603
14.507887,0.000891
14.870584,0.001022
15.233281,0.000865
15.595978,0.000786
15.958675,0.001180
16.321372,0.000813
16.684070,0.000891
17.046767,0.000839
17.409464,0.000655
17.772161,0.000891
18.134858,0.000839
18.497555,0.000786
18.860252,0.001101
19.222950,0.000970
19.585647,0.000996
19.948344,0.020157
20.311041,0.021048
20.673738,0.024036
21.036435,0.022463
21.399133,0.023459
21.761830,0.023486
22.124527,0.023800
22.487224,0.024167
22.849921,0.025661
23.212618,0.023381
23.575316,0.023722
23.938013,0.024482
24.300710,0.023931
24.663407,0.024429
25.026104,0.024875
25.388801,0.024167
25.751499,0.023066
26.114196,0.024010
26.476893,0.025347
26.839590,0.024167
27.202287,0.024534
27.564984,0.024298
27.927682,0.023879
28.290379,0.024849
28.653076,0.024744
29.015773,0.023984
29.378470,0.025032
29.741167,0.017169
30.103865,0.002516
30.466562,0.002700
30.829259,0.002621
31.191956,0.003276
31.554653,0.002805
31.917350,0.002569
32.280048,0.002516
32.642745,0.002674
33.005442,0.003145
33.368139,0.002909
33.730836,0.002595
34.093533,0.002280
34.456231,0.002516
34.818928,0.002543
35.181625,0.002490
35.544322,0.002516
35.907019,0.002202
36.269716,0.002883
36.632413,0.002595
36.995111,0.002438
37.357808,0.002936
37.720505,0.002385
38.083202,0.002438
38.445899,0.002176
38.808596,0.002490
39.171294,0.002936
39.533991,0.002516
39.896688,0.002228
40.259385,0.002490
40.622082,0.002543
40.984779,0.002595
41.347477,0.002018
41.710174,0.002254
42.072871,0.002359
42.435568,0.002936
42.798265,0.002333
43.160962,0.002543
43.523660,0.002254
43.886357,0.002176
44.249054,0.002123
44.611751,0.002228
44.974448,0.002647
45.337145,0.001992
45.699843,0.002071
46.062540,0.002254
46.425237,0.001992
46.787934,0.002176
47.150631,0.001835
47.513328,0.002123
47.876026,0.002333
48.238723,0.002202
48.601420,0.002543
48.964117,0.002097
49.326814,0.002228
49.689511,0.002254
50.052209,0.002228
50.414906,0.001913
50.777603,0.001809
51.140300,0.002097
51.502997,0.002097
51.865694,0.002149
52.228392,0.001913
52.591089,0.002280
52.953786,0.001809
53.316483,0.001913
53.679180,0.001625
54.041877,0.001730
54.404574,0.001809
54.767272,0.001678
55.129969,0.001678
55.492666,0.002280
55.855363,0.001809
56.218060,0.001782
56.580757,0.001730
56.943455,0.002097
57.306152,0.001651
57.668849,0.001678
58.031546,0.001520
58.394243,0.001704
58.756940,0.001468
59.119638,0.001232
59.482335,0.001389
59.845032,0.001415
60.207729,0.001573
60.570426,0.001546
60.933123,0.001494
61.295821,0.001468
61.658518,0.001625
62.021215,0.001048
62.383912,0.001573
62.746609,0.001468
63.109306,0.001494
63.472004,0.001337
63.834701,0.001809
64.197398,0.001101
64.560095,0.001756
64.922792,0.001284
65.285489,0.001520
65.648187,0.001546
66.010884,0.001284
66.373581,0.001389
66.736278,0.001258
67.098975,0.001599
67.461672,0.001599
67.824370,0.001363
68.187067,0.001127
68.549764,0.001311
68.912461,0.001284
69.275158,0.001284
69.637855,0.001311
70.000552,0.000996
70.363250,0.001022
70.725947,0.001311
71.088644,0.001127
71.451341,0.000917
71.814038,0.000944
72.176735,0.001311
72.539433,0.001206
72.902130,0.001048
73.264827,0.001337
73.627524,0.001311
73.990221,0.001258
74.352918,0.001022
74.715616,0.001075
75.078313,0.000839
75.441010,0.000970
75.803707,0.000996
76.166404,0.000891
76.529101,0.000813
76.891799,0.000629
77.254496,0.000917
77.617193,0.000786
77.979890,0.001075
78.342587,0.000891
78.705284,0.000865
79.067982,0.001022
79.430679,0.000944
79.793376,0.000813
80.156073,0.000865
80.518770,0.000682
80.881467,0.000970
81.244165,0.000708
81.606862,0.000629
81.969559,0.001022
82.332256,0.000708
82.694953,0.000472
83.057650,0.000760
83.420348,0.000734
83.783045,0.000760
84.145742,0.000393
84.508439,0.000603
84.871136,0.000786
85.233833,0.001101
85.596531,0.000655
85.959228,0.000262
86.321925,0.000655
86.684622,0.000629
87.047319,0.000577
87.410016,0.000682
87.772713,0.000655
88.135411,0.000760
88.498108,0.000839
88.860805,0.000629
89.223502,0.000760
89.586199,0.000446
89.948896,0.000446
90.311594,0.000367
90.674291,0.000655
91.036988,0.000419
91.399685,0.000446
91.762382,0.000472
92.125079,0.000577
92.487777,0.000446
92.850474,0.000498
93.213171,0.000393
93.575868,0.000550
93.938565,0.000472
94.301262,0.000603
94.663960,0.000393
95.026657,0.000367
95.389354,0.000550
95.752051,0.000236
96.114748,0.000446
96.477445,0.000577
96.840143,0.000498
97.202840,0.000288
97.565537,0.000341
97.928234,0.000524
98.290931,0.000446
98.653628,0.000236
99.016326,0.000262
99.379023,0.000498
99.741720,0.000236
100.104417,0.000236
100.467114,0.000131
100.829811,0.000262
101.192509,0.000341
101.555206,0.000288
101.917903,0.000341
102.280600,0.000105
102.643297,0.000262
103.005994,0.000262
103.368692,0.000262
103.731389,0.000210
104.094086,0.000183
104.456783,0.000236
104.819480,0.000079
105.182177,0.000183
105.544874,0.000210
105.907572,0.000157
106.270269,0.000131
106.632966,0.000183
106.995663,0.000210
107.358360,0.000262
107.721057,0.000131
108.083755,0.000079
108.446452,0.000288
108.809149,0.000183
109.171846,0.000131
109.534543,0.000105
109.897240,0.000079
110.259938,0.000157
110.622635,0.000157
110.985332,0.000131
111.348029,0.000183
111.710726,0.000183
112.073423,0.000157
112.436121,0.000210
112.798818,0.000000
113.161515,0.000052
113.524212,0.000157
113.886909,0.000157
114.249606,0.000105
114.612304,0.000131
114.975001,0.000052
115.337698,0.000157
115.700395,0.000026
116.063092,0.000052
116.425789,0.000079
116.788487,0.000079
117.151184,0.000052
117.513881,0.000079
117.876578,0.000000
118.239275,0.000157
118.601972,0.000052
118.964670,0.000052
119.327367,0.000052
119.690064,0.000026
120.052761,0.000131
120.415458,0.000026
120.778155,0.000131
121.140853,0.000079
121.503550,0.000079
121.866247,0.000131
122.228944,0.000105
122.591641,0.000026
122.954338,0.000131
123.317035,0.000052
123.679733,0.000079
124.042430,0.000052
124.405127,0.000105
124.767824,0.000079
125.130521,0.000026
125.493218,0.000026
125.855916,0.000026
126.218613,0.000052
126.581310,0.000079
126.944007,0.000105
127.306704,0.000052
127.669401,0.000000
128.032099,0.000026
128.394796,0.000026
128.757493,0.000052
129.120190,0.000026
129.482887,0.000026
129.845584,0.000026
130.208282,0.000026
130.570979,0.000026
130.933676,0.000000
131.296373,0.000026
131.659070,0.000026
132.021767,0.000000
132.384465,0.000000
132.747162,0.000000
133.109859,0.000052
133.472556,0.000000
133.835253,0.000026
134.197950,0.000026
134.560648,0.000000
