Z.nm,Hits 
0.000000,0.000166
0.208571,0.000233
0.417141,0.000116
0.625712,0.000199
0.834282,0.000216
1.042853,0.000249
1.251424,0.000199
1.459994,0.000216
1.668565,0.000332
1.877135,0.000216
2.085706,0.000116
2.294277,0.000332
2.502847,0.000199
2.711418,0.000316
2.919988,0.000316
3.128559,0.000199
3.337130,0.000233
3.545700,0.000183
3.754271,0.000283
3.962841,0.000266
4.171412,0.000366
4.379983,0.000283
4.588553,0.000299
4.797124,0.000266
5.005694,0.000349
5.214265,0.000183
5.422836,0.000349
5.631406,0.000266
5.839977,0.000283
6.048547,0.000216
6.257118,0.000266
6.465689,0.000183
6.674259,0.000183
6.882830,0.000283
7.091400,0.000332
7.299971,0.000416
7.508542,0.000166
7.717112,0.000199
7.925683,0.000266
8.134253,0.000233
8.342824,0.000266
8.551395,0.000216
8.759965,0.000283
8.968536,0.000283
9.177106,0.000183
9.385677,0.000332
9.594247,0.000349
9.802818,0.000216
10.011389,0.000332
10.219959,0.000133
10.428530,0.000349
10.637100,0.000316
10.845671,0.000249
11.054242,0.000416
11.262812,0.000366
11.471383,0.000299
11.679953,0.000349
11.888524,0.000233
12.097095,0.000332
12.305665,0.000183
12.514236,0.000316
12.722806,0.000382
12.931377,0.000283
13.139948,0.000233
13.348518,0.000366
13.557089,0.000316
13.765659,0.000316
13.974230,0.000316
14.182801,0.000382
14.391371,0.000233
14.599942,0.000316
14.808512,0.000249
15.017083,0.000432
15.225654,0.000515
15.434224,0.000366
15.642795,0.000349
15.851365,0.000382
16.059936,0.000349
16.268507,0.000183
16.477077,0.000399
16.685648,0.000216
16.894218,0.000283
17.102789,0.000266
17.311360,0.000266
17.519930,0.000299
17.728501,0.000216
17.937071,0.000316
18.145642,0.000283
18.354213,0.000316
18.562783,0.000249
18.771354,0.000349
18.979924,0.000299
19.188495,0.000283
19.397066,0.000266
19.605636,0.000366
19.814207,0.001396
20.022777,0.008560
20.231348,0.007579
20.439919,0.008676
20.648489,0.008626
20.857060,0.008659
21.065630,0.008776
21.274201,0.008759
21.482772,0.008543
21.691342,0.008161
21.899913,0.008676
22.108483,0.008709
22.317054,0.009291
22.525625,0.008327
22.734195,0.009158
22.942766,0.008659
23.151336,0.008626
23.359907,0.007728
23.568478,0.008543
23.777048,0.008310
23.985619,0.008310
24.194189,0.008726
24.402760,0.008327
24.611331,0.008626
24.819901,0.009424
25.028472,0.008659
25.237042,0.008343
25.445613,0.009673
25.654184,0.009191
25.862754,0.008759
26.071325,0.008626
26.279895,0.008975
26.488466,0.009756
26.697037,0.008975
26.905607,0.009158
27.114178,0.009474
27.322748,0.009008
27.531319,0.008310
27.739889,0.009208
27.948460,0.009607
28.157031,0.009490
28.365601,0.008925
28.574172,0.008277
28.782742,0.008809
28.991313,0.008958
29.199884,0.009174
29.408454,0.008825
29.617025,0.007945
29.825595,0.008310
30.034166,0.008427
30.242737,0.008210
30.451307,0.009058
