"Z.um","Gen.C.K.L2.","Emit.C.K.L2.","Gen.C.K.L3.","Emit.C.K.L3.","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Si.K.L2.","Emit.Si.K.L2.","Gen.Si.K.L3.","Emit.Si.K.L3.","Gen.Si.K.M2.","Emit.Si.K.M2.","Gen.Si.K.M3.","Emit.Si.K.M3.","Gen.Si.L1.M2.","Emit.Si.L1.M2.","Gen.Si.L2.M1.","Emit.Si.L2.M1.","Gen.Si.L3.M1.","Emit.Si.L3.M1.","Gen_I.C.K.L2.","Emit_I.C.K.L2.","Gen_I.C.K.L3.","Emit_I.C.K.L3.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Si.K.L2.","Emit_I.Si.K.L2.","Gen_I.Si.K.L3.","Emit_I.Si.K.L3.","Gen_I.Si.K.M2.","Emit_I.Si.K.M2.","Gen_I.Si.K.M3.","Emit_I.Si.K.M3.","Gen_I.Si.L1.M2.","Emit_I.Si.L1.M2.","Gen_I.Si.L2.M1.","Emit_I.Si.L2.M1.","Gen_I.Si.L3.M1.","Emit_I.Si.L3.M1."
0.0069999999996071,0.648,0.646,0.648,0.646,0.54,0.513,0.54,0.513,0.493,0.492,0.493,0.492,0.493,0.492,0.493,0.492,0.575,0.496,4.657,3.894,4.777,3.995,157793.059,157117.584,314917.278,313617.416,102673.149,97600.171,204534.14,194428.311,64418.629,64239.181,127817.306,127461.252,1098.162,1095.527,2178.746,2173.481,536.058,461.864,3632.191,3037.318,6847.92,5726.381
0.0290000000004511,0,0,0,0,1.533,1.416,1.533,1.416,1.37,1.359,1.37,1.359,1.37,1.361,1.37,1.361,1.669,0.961,13.506,8.685,13.857,8.91,0,0,0,0,291609.226,269342.979,580911.784,536555.42,178853.609,177527.236,354875.397,352243.65,3048.965,3029.423,6049.129,6010.073,1555.383,895.392,10535.106,6774.089,19863.548,12772.274
0.0509999999994761,0,0,0,0,1.646,1.458,1.646,1.458,1.445,1.424,1.445,1.424,1.445,1.427,1.445,1.427,1.806,0.572,14.602,6.387,14.981,6.553,0,0,0,0,312940.234,277285.604,623405.069,552377.842,188654.219,185999.395,374321.441,369053.827,3216.039,3176.868,6380.603,6302.326,1682.676,532.899,11389.351,4982.011,21474.591,9393.559
0.0730000000003201,0,0,0,0,1.742,1.481,1.742,1.481,1.512,1.481,1.512,1.481,1.512,1.485,1.512,1.485,1.945,0.338,15.734,4.678,16.144,4.8,0,0,0,0,331357.395,281636.535,660093.709,561045.288,197440.819,193354.181,391755.522,383646.95,3365.827,3305.483,6677.78,6557.197,1812.488,315.319,12272.91,3649.136,23141.935,6880.853
0.0944999999992433,0,0,0,0,1.848,1.507,1.848,1.507,1.586,1.542,1.586,1.542,1.586,1.548,1.586,1.548,2.062,0.198,16.653,3.371,17.086,3.459,0,0,0,0,351441.423,286589.371,700102.898,570911.782,207062.223,201422.619,410845.992,399656.077,3529.845,3446.519,7003.192,6836.688,1920.761,184.018,12989.523,2629.472,24492.596,4958.048
0.115999999999985,0,0,0,0,1.939,1.517,1.939,1.517,1.648,1.592,1.648,1.592,1.648,1.6,1.648,1.599,2.176,0.114,17.577,2.416,18.035,2.479,0,0,0,0,368830.788,288495.927,734744.077,574709.812,215196.484,207927.753,426985.722,412563.348,3668.512,3561.056,7278.307,7063.591,2027.128,106.511,13710.308,1884.395,25852.365,3553.241
0.138000000000829,0,0,0,0,2.048,1.537,2.048,1.537,1.724,1.655,1.724,1.655,1.724,1.664,1.724,1.663,2.313,0.067,18.678,1.745,19.165,1.791,0,0,0,0,389428.869,292206.315,775777.304,582101.24,225138.279,216074.827,446711.902,428728.503,3837.993,3703.935,7614.555,7346.692,2154.574,62.22,14568.783,1361.483,27471.572,2567.275
0.159999999999854,0,0,0,0,2.129,1.533,2.129,1.533,1.767,1.685,1.767,1.685,1.767,1.696,1.767,1.695,2.427,0.039,19.586,1.246,20.097,1.279,0,0,0,0,404844.727,291447.889,806487.079,580590.388,230777.699,220008.001,457901.452,436532.575,3934.129,3774.756,7805.289,7486.851,2260.78,35.952,15277.1,971.948,28807.659,1832.778
0.182000000000698,0,0,0,0,2.203,1.522,2.203,1.522,1.819,1.723,1.819,1.723,1.819,1.735,1.819,1.735,2.509,0.022,20.251,0.876,20.779,0.898,0,0,0,0,419024.405,289373.941,834734.271,576458.896,237573.711,224968.008,471385.874,446374.056,4049.983,3863.35,8035.142,7662.245,2337.749,20.416,15795.854,682.932,29785.929,1287.79
0.203999999999724,0,0,0,0,2.284,1.513,2.284,1.513,1.86,1.75,1.86,1.75,1.86,1.764,1.86,1.764,2.61,0.013,21.042,0.619,21.59,0.635,0,0,0,0,434324.49,287756.628,865213.417,573237.063,242936.765,228506.808,482027.068,453395.626,4141.408,3927.666,8216.529,7789.475,2431.429,11.686,16412.626,482.919,30948.78,910.625
0.225500000000466,0,0,0,0,2.346,1.491,2.346,1.491,1.902,1.777,1.902,1.777,1.902,1.793,1.902,1.792,2.699,0.007,21.77,0.435,22.339,0.446,0,0,0,0,446219.958,283573.186,888910.258,564903.27,248329.103,232008.418,492726.366,460343.404,4233.333,3991.471,8398.907,7915.682,2514.4,6.629,16981.16,339.295,32021.845,639.818
0.246999999999389,0,0,0,0,2.372,1.447,2.372,1.447,1.901,1.764,1.901,1.764,1.901,1.782,1.901,1.781,2.745,0.004,22.135,0.302,22.714,0.31,0,0,0,0,451121.76,275110.275,898675.087,548044.392,248244.034,230388.353,492557.575,457128.925,4231.883,3967.152,8396.03,7867.126,2557.736,3.724,17265.821,235.296,32558.974,443.709
0.269000000000233,0,0,0,0,2.411,1.41,2.411,1.41,1.897,1.749,1.897,1.749,1.897,1.768,1.897,1.767,2.804,0.002,22.59,0.209,23.18,0.214,0,0,0,0,458528.164,268154.404,913429.309,534187.672,247730.191,228357.404,491538.025,453099.183,4223.123,3935.767,8378.651,7804.556,2612.859,2.079,17620.504,162.691,33227.9,306.794
