um,cts
1.122,0
1.152,0
1.183,0
1.215,0
1.248,765
1.282,699
1.316,635
1.351,574
1.388,517
1.425,376
1.464,349
1.503,282
1.544,182
1.585,181
1.628,140
1.672,86
1.717,75
1.763,59
1.811,31
1.859,39
1.909,36
1.961,32
2.014,33
2.068,18
2.124,28
2.181,29
2.24,24
2.3,29
2.362,41
2.425,29
2.491,44
2.558,42
2.627,46
2.698,45
2.77,52
2.845,75
2.922,68
3,79
3.081,119
3.164,117
3.249,138
3.337,184
3.427,201
3.519,268
3.614,323
3.711,382
3.811,514
3.914,625
4.019,664
4.128,869
4.239,1069
4.353,1150
4.47,1339
4.591,1534
4.714,1806
4.841,1887
4.972,2050
5.106,2173
5.243,2101
5.385,2091
5.53,2043
5.679,1941
5.832,1634
5.989,1539
6.15,1270
6.316,1073
6.486,888
6.661,662
6.84,466
7.024,406
7.214,291
7.408,210
7.607,137
7.812,87
8.023,66
8.239,59
8.461,44
8.689,22
8.923,19
9.163,19
9.41,7
9.664,10
9.924,11
10.191,8
10.466,3
10.748,5
11.038,7
11.335,0
11.64,3
11.954,3
12.276,3
12.607,1
12.946,2
13.295,1
13.653,2
14.021,1
14.399,2
14.787,2
15.185,1
15.594,0
16.014,2
16.445,0
16.889,0
17.343,0
17.811,0
18.291,0
18.783,1
19.289,1
19.809,0
20.343,1
20.891,0
21.453,1
22.031,0
22.625,0
23.234,0
23.86,0
24.503,0
25.163,0
25.841,0
26.537,0
27.252,0
27.986,0
28.74,0
29.515,0
30.31,0
31.126,0
31.965,0
32.826,0
